Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,52
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,21
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,3
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,8
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,26
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,13
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,96
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,13,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,44
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,23
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,32
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,17
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,119
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,14,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,68
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,15
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,9
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,12
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,15
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,03171,GRAN ALIANZA POR BOYACA,00002,RAMIRO BARRAGAN ADAME,112
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,15,00,,001,GOBERNADOR,1,04019,JUNTOS #ESMOMENTO,00004,JONATAN SANCHEZ GARAVITO,55
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,00000,,00997,VOTOS NULOS,9
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,00000,,00996,VOTOS EN BLANCO,18
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,00000,,00998,VOTOS NO MARCADOS,7
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,00012,MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS,00003,JOSE GIOVANY PINZON BAEZ,25
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,16,00,,001,GOBERNADOR,1,00015,PARTIDO COLOMBIA RENACIENTE,00001,OLMEDO VARGAS HERNANDEZ,25
