Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Nombre Circunscripción,Código CITREP,Nombre CITREP,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,102,OLGA MARIA CHIVATA VARGAS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,101,MONICA YANNETH QUIROGA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,106,LUPE ISABEL LOPEZ MARQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0006,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,106,LUPE ISABEL LOPEZ MARQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,101,MONICA YANNETH QUIROGA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,101,MONICA YANNETH QUIROGA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,106,LUPE ISABEL LOPEZ MARQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0011,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,101,MONICA YANNETH QUIROGA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,101,MONICA YANNETH QUIROGA CASTILLO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,101,MAYDA CECILIA VELASQUEZ RUEDA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,101,MAYDA CECILIA VELASQUEZ RUEDA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,104,MAYRA ALEJANDRA VIANCHA SANABRIA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,101,MAYDA CECILIA VELASQUEZ RUEDA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0006,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,104,MAYRA ALEJANDRA VIANCHA SANABRIA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,101,MAYDA CECILIA VELASQUEZ RUEDA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,101,MAYDA CECILIA VELASQUEZ RUEDA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0001,PARTIDO LIBERAL COLOMBIANO,104,MAYRA ALEJANDRA VIANCHA SANABRIA,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,101,CINDY YOHANA BOHORQUEZ GARZON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0008,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,101,CINDY YOHANA BOHORQUEZ GARZON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,101,CINDY YOHANA BOHORQUEZ GARZON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0011,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,101,CINDY YOHANA BOHORQUEZ GARZON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,101,CINDY YOHANA BOHORQUEZ GARZON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0002,PARTIDO CONSERVADOR COLOMBIANO,101,CINDY YOHANA BOHORQUEZ GARZON,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,106,NIDIA MILENA TORRES PAEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0003,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,101,OLGA YANETH BELTRAN DORADO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,106,NIDIA MILENA TORRES PAEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,106,NIDIA MILENA TORRES PAEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0011,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,101,OLGA YANETH BELTRAN DORADO,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0012,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0011,PARTIDO CENTRO DEMOCRÁTICO,106,NIDIA MILENA TORRES PAEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0002,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,103,WILLIAM FERNANDO GRANADOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,103,WILLIAM FERNANDO GRANADOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0004,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,105,HENRY DE JESUS PUERTO VASQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0005,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,105,HENRY DE JESUS PUERTO VASQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0007,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,105,HENRY DE JESUS PUERTO VASQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0009,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,105,HENRY DE JESUS PUERTO VASQUEZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0010,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0019,PARTIDO NUEVO LIBERALISMO,103,WILLIAM FERNANDO GRANADOS,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0001,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,104,LUIS GUILLERMO BARRERA GUTIERREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0010,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,104,LUIS GUILLERMO BARRERA GUTIERREZ,1
07,BOYACA,001,TUNJA,90,01,PUESTO CENSO (COL. BOY SAN AGUSTIN),0013,00,,02,CAMARA,02,DEPARTAMENTAL,00,NO CITREP,0003,PARTIDO CAMBIO RADICAL,104,LUIS GUILLERMO BARRERA GUTIERREZ,1
