Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,00000,CANDIDATOS TOTALES,00997,VOTOS NULOS,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,00000,CANDIDATOS TOTALES,00998,VOTOS NO MARCADOS,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,00000,CANDIDATOS TOTALES,00996,VOTOS EN BLANCO,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,00029,NUEVA FUERZA DEMOCRÁTICA,00001,HOSMAN YAITH MARTINEZ MORENO,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,01661,NO MAS,00005,CLEMENTINA GUAYACAN GUEVARA,3
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,05710,RESULTADOS PARA BOYACA,00004,RODRIGO ARTURO ROJAS LARA,54
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,05771,BOYACÁ SOMOS TODOS,00006,VICTOR MANUEL LEGUIZAMO DIAZ,44
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,06137,BOYACÁ GRANDE,00002,CARLOS ANDRES AMAYA RODRIGUEZ,40
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,1,00,NACIONAL,001,GOBERNADOR,1,07405,PACTO HISTÓRICO COLOMBIA PUEDE,00003,JOSE GIOVANY PINZON BAEZ,17
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,00000,CANDIDATOS TOTALES,00997,VOTOS NULOS,4
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,00000,CANDIDATOS TOTALES,00996,VOTOS EN BLANCO,13
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,00000,CANDIDATOS TOTALES,00998,VOTOS NO MARCADOS,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,00029,NUEVA FUERZA DEMOCRÁTICA,00001,HOSMAN YAITH MARTINEZ MORENO,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,00033,PARTIDO POLÍTICO CREEMOS,00007,MAURICIO ALBERTO LANDAZABAL SUAZA,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,01661,NO MAS,00005,CLEMENTINA GUAYACAN GUEVARA,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANTANDER,10,00,NACIONAL,001,GOBERNADOR,1,05710,RESULTADOS PARA BOYACA,00004,RODRIGO ARTURO ROJAS LARA,57
