Código Departamento,Nombre Departamento,Código Municipio,Nombre Municipio,Código Zona,Código Puesto,Nombre Puesto,Mesa,Código Comuna,Nombre Comuna,Código Corporación,Nombre Corporación,Código Circunscripción,Código Partido,Nombre Partido,Código Candidato,Nombre Candidato,Total Votos
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00000,,00997,VOTOS NULOS,4
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00000,,00996,VOTOS EN BLANCO,11
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00000,,00998,VOTOS NO MARCADOS,14
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00004,PARTIDO ALIANZA VERDE,00007,JOHN ERNESTO CARRERO VILLAMIL,28
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00008,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,00002,ANDERSON ROLANDO MENDIVELSO MEJIA,3
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00011,PARTIDO CENTRO DEMOCRATICO,00004,MERY JOHANNA GONZALEZ ALBA,4
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00015,PARTIDO COLOMBIA RENACIENTE,00003,MARLEN FUERTE FAUSTINO,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,00016,PARTIDO ADA,00006,JORGE ELIECER MORENO QUIROGA,2
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,02849,PARTIDO CONSERVADOR COLOMBIANO - ASI - POLO DEMOCRATICO,00008,LUIS ALEJANDRO FUNEME GONZALEZ,72
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,03211,TUNJA PRODUCTIVA SOCIAL Y PARTICIPATIVA 2023,00001,RAFAEL GUILLERMO ACEVEDO PEDROZA,10
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,1,00,,003,ALCALDE,2,03569,COALICION TUNJA,00005,PEDRO JOSE SUAREZ VACCA,26
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00000,,00996,VOTOS EN BLANCO,18
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00000,,00998,VOTOS NO MARCADOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00004,PARTIDO ALIANZA VERDE,00007,JOHN ERNESTO CARRERO VILLAMIL,45
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00008,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,00002,ANDERSON ROLANDO MENDIVELSO MEJIA,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00011,PARTIDO CENTRO DEMOCRATICO,00004,MERY JOHANNA GONZALEZ ALBA,8
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00015,PARTIDO COLOMBIA RENACIENTE,00003,MARLEN FUERTE FAUSTINO,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,00016,PARTIDO ADA,00006,JORGE ELIECER MORENO QUIROGA,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,02849,PARTIDO CONSERVADOR COLOMBIANO - ASI - POLO DEMOCRATICO,00008,LUIS ALEJANDRO FUNEME GONZALEZ,71
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,03211,TUNJA PRODUCTIVA SOCIAL Y PARTICIPATIVA 2023,00001,RAFAEL GUILLERMO ACEVEDO PEDROZA,23
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,10,00,,003,ALCALDE,2,03569,COALICION TUNJA,00005,PEDRO JOSE SUAREZ VACCA,32
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00000,,00996,VOTOS EN BLANCO,11
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00000,,00997,VOTOS NULOS,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00000,,00998,VOTOS NO MARCADOS,1
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00004,PARTIDO ALIANZA VERDE,00007,JOHN ERNESTO CARRERO VILLAMIL,66
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00008,PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U,00002,ANDERSON ROLANDO MENDIVELSO MEJIA,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00011,PARTIDO CENTRO DEMOCRATICO,00004,MERY JOHANNA GONZALEZ ALBA,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00015,PARTIDO COLOMBIA RENACIENTE,00003,MARLEN FUERTE FAUSTINO,6
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,00016,PARTIDO ADA,00006,JORGE ELIECER MORENO QUIROGA,4
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,02849,PARTIDO CONSERVADOR COLOMBIANO - ASI - POLO DEMOCRATICO,00008,LUIS ALEJANDRO FUNEME GONZALEZ,59
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,03211,TUNJA PRODUCTIVA SOCIAL Y PARTICIPATIVA 2023,00001,RAFAEL GUILLERMO ACEVEDO PEDROZA,19
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,11,00,,003,ALCALDE,2,03569,COALICION TUNJA,00005,PEDRO JOSE SUAREZ VACCA,18
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,003,ALCALDE,2,00000,,00998,VOTOS NO MARCADOS,5
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,003,ALCALDE,2,00000,,00996,VOTOS EN BLANCO,9
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,003,ALCALDE,2,00000,,00997,VOTOS NULOS,3
07,BOYACA,001,TUNJA,01,01,COL. BOYACA.FCO DE PAULA SANT,12,00,,003,ALCALDE,2,00004,PARTIDO ALIANZA VERDE,00007,JOHN ERNESTO CARRERO VILLAMIL,50
