MUNNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Centro Democrático;718
ALMEIDA;Pacto Histórico;184
AQUITANIA;Centro Democrático;6296
AQUITANIA;Pacto Histórico;1212
ARCABUCO;Centro Democrático;1530
ARCABUCO;Pacto Histórico;1101
BELEN;Centro Democrático;2007
BELEN;Pacto Histórico;1670
BERBEO;Centro Democrático;394
BERBEO;Pacto Histórico;365
BETEITIVA;Centro Democrático;479
BETEITIVA;Pacto Histórico;435
BOAVITA;Centro Democrático;1984
BOAVITA;Pacto Histórico;501
BOYACA;Centro Democrático;1319
BOYACA;Pacto Histórico;782
BRICENO;Centro Democrático;1037
BRICENO;Pacto Histórico;188
BUENAVISTA;Centro Democrático;2081
BUENAVISTA;Pacto Histórico;568
BUSBANZA;Centro Democrático;309
BUSBANZA;Pacto Histórico;196
CALDAS;Centro Democrático;1136
CALDAS;Pacto Histórico;513
CAMPOHERMOSO;Centro Democrático;980
CAMPOHERMOSO;Pacto Histórico;232
CERINZA;Centro Democrático;1113
CERINZA;Pacto Histórico;993
CHINAVITA;Centro Democrático;1227
CHINAVITA;Pacto Histórico;320
CHIQUINQUIRA;Centro Democrático;13505
CHIQUINQUIRA;Pacto Histórico;9321
CHIQUIZA;Centro Democrático;651
CHIQUIZA;Pacto Histórico;1454
CHISCAS;Centro Democrático;1535
CHISCAS;Pacto Histórico;222
CHITA;Centro Democrático;2678
CHITA;Pacto Histórico;448
CHITARAQUE;Centro Democrático;2368
CHITARAQUE;Pacto Histórico;398
CHIVATA;Centro Democrático;770
CHIVATA;Pacto Histórico;758
CHIVOR;Centro Democrático;893
CHIVOR;Pacto Histórico;98
CIENEGA;Centro Democrático;1754
CIENEGA;Pacto Histórico;442
COMBITA;Centro Democrático;2124
COMBITA;Pacto Histórico;2604
COPER;Centro Democrático;1410
COPER;Pacto Histórico;239
CORRALES;Centro Democrático;618
CORRALES;Pacto Histórico;674
COVARACHIA;Centro Democrático;1392
COVARACHIA;Pacto Histórico;138
CUBARA;Centro Democrático;924
CUBARA;Pacto Histórico;1396
CUCAITA;Centro Democrático;804
CUCAITA;Pacto Histórico;1131
CUITIVA;Centro Democrático;657
CUITIVA;Pacto Histórico;342
DUITAMA;Centro Democrático;23538
DUITAMA;Pacto Histórico;30581
EL COCUY;Centro Democrático;1770
EL COCUY;Pacto Histórico;230
EL ESPINO;Centro Democrático;1195
EL ESPINO;Pacto Histórico;131
FIRAVITOBA;Centro Democrático;1406
FIRAVITOBA;Pacto Histórico;1454
FLORESTA;Centro Democrático;1263
FLORESTA;Pacto Histórico;598
GACHANTIVA;Centro Democrático;1212
GACHANTIVA;Pacto Histórico;547
GAMEZA;Centro Democrático;1640
GAMEZA;Pacto Histórico;546
GARAGOA;Centro Democrático;3923
GARAGOA;Pacto Histórico;2693
GUACAMAYAS;Centro Democrático;834
GUACAMAYAS;Pacto Histórico;108
GUATEQUE;Centro Democrático;2835
GUATEQUE;Pacto Histórico;1818
GUAYATA;Centro Democrático;1786
GUAYATA;Pacto Histórico;324
GUICAN DE LA SIERRA;Centro Democrático;1176
GUICAN DE LA SIERRA;Pacto Histórico;531
IZA;Centro Democrático;808
IZA;Pacto Histórico;427
JENESANO;Centro Democrático;1925
JENESANO;Pacto Histórico;1076
JERICO;Centro Democrático;1511
JERICO;Pacto Histórico;223
LA CAPILLA;Centro Democrático;1042
LA CAPILLA;Pacto Histórico;417
LA UVITA;Centro Democrático;1230
LA UVITA;Pacto Histórico;143
LA VICTORIA;Centro Democrático;724
LA VICTORIA;Pacto Histórico;116
LABRANZAGRANDE;Centro Democrático;1391
LABRANZAGRANDE;Pacto Histórico;298
MACANAL;Centro Democrático;1501
MACANAL;Pacto Histórico;393
MARIPI;Centro Democrático;2293
MARIPI;Pacto Histórico;480
MIRAFLORES;Centro Democrático;2065
MIRAFLORES;Pacto Histórico;2270
MONGUA;Centro Democrático;2257
MONGUA;Pacto Histórico;375
MONGUI;Centro Democrático;1433
MONGUI;Pacto Histórico;776
MONIQUIRA;Centro Democrático;5889
MONIQUIRA;Pacto Histórico;3730
MOTAVITA;Centro Democrático;1075
MOTAVITA;Pacto Histórico;1961
MUZO;Centro Democrático;3315
MUZO;Pacto Histórico;762
NOBSA;Centro Democrático;2352
NOBSA;Pacto Histórico;5830
