MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
BERBEO;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;35,BERBEO;German Vargas Lleras;Centro Democrático;35,0.0,0.0
BERBEO;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;281,BERBEO;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;281,0.0,0.0
BERBEO;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;13,BERBEO;Humberto De La Calle Lombana;Partido de la U;13,0.0,0.0
BERBEO;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;299,BERBEO;Ivan Duque Marquez;Centro Democrático;299,0.0,0.0
BERBEO;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;2,BERBEO;Jorge Antonio Trujillo Sarmiento;Cambio Radical;2,0.0,0.0
BERBEO;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;77,BERBEO;Sergio Fajardo Valderrama;Colombia Humana;77,0.0,0.0
BERBEO;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;3,BERBEO;Viviane Aleida Morales Hoyos;Cambio Radical;3,0.0,0.0
BETEITIVA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;80,BETEITIVA;German Vargas Lleras;Centro Democrático;80,0.0,0.0
BETEITIVA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;228,BETEITIVA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;228,0.0,0.0
BETEITIVA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;38,BETEITIVA;Humberto De La Calle Lombana;Partido de la U;38,0.0,0.0
BETEITIVA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;331,BETEITIVA;Ivan Duque Marquez;Centro Democrático;331,0.0,0.0
BETEITIVA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;3,BETEITIVA;Promotores Voto En Blanco;Promotores Voto En Blanco;3,0.0,0.0
BETEITIVA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;198,BETEITIVA;Sergio Fajardo Valderrama;Colombia Humana;198,0.0,0.0
BETEITIVA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;5,BETEITIVA;Viviane Aleida Morales Hoyos;Cambio Radical;5,0.0,0.0
BOAVITA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;237,BOAVITA;German Vargas Lleras;Centro Democrático;237,0.0,0.0
BOAVITA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;279,BOAVITA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;279,0.0,0.0
BOAVITA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;18,BOAVITA;Humberto De La Calle Lombana;Partido de la U;18,0.0,0.0
BOAVITA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;1494,BOAVITA;Ivan Duque Marquez;Centro Democrático;1494,0.0,0.0
BOAVITA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;5,BOAVITA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;5,0.0,0.0
BOAVITA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;2,BOAVITA;Promotores Voto En Blanco;Promotores Voto En Blanco;2,0.0,0.0
BOAVITA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;376,BOAVITA;Sergio Fajardo Valderrama;Colombia Humana;376,0.0,0.0
BOAVITA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;6,BOAVITA;Viviane Aleida Morales Hoyos;Cambio Radical;6,0.0,0.0
BOYACA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;84,BOYACA;German Vargas Lleras;Centro Democrático;84,0.0,0.0
BOYACA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;404,BOYACA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;404,0.0,0.0
BOYACA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;73,BOYACA;Humberto De La Calle Lombana;Partido de la U;73,0.0,0.0
BOYACA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;849,BOYACA;Ivan Duque Marquez;Centro Democrático;849,0.0,0.0
BOYACA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;4,BOYACA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;4,0.0,0.0
BOYACA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;2,BOYACA;Promotores Voto En Blanco;Promotores Voto En Blanco;2,0.0,0.0
BOYACA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;264,BOYACA;Sergio Fajardo Valderrama;Colombia Humana;264,0.0,0.0
BOYACA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;5,BOYACA;Viviane Aleida Morales Hoyos;Cambio Radical;5,0.0,0.0
BRICENO;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;28,BRICENO;German Vargas Lleras;Centro Democrático;28,0.0,0.0
BRICENO;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;116,BRICENO;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;116,0.0,0.0
BRICENO;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;7,BRICENO;Humberto De La Calle Lombana;Partido de la U;7,0.0,0.0
BRICENO;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;872,BRICENO;Ivan Duque Marquez;Centro Democrático;872,0.0,0.0
BRICENO;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;1,BRICENO;Jorge Antonio Trujillo Sarmiento;Cambio Radical;1,0.0,0.0
BRICENO;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;2,BRICENO;Promotores Voto En Blanco;Promotores Voto En Blanco;2,0.0,0.0
BRICENO;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;99,BRICENO;Sergio Fajardo Valderrama;Colombia Humana;99,0.0,0.0
BRICENO;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;1,BRICENO;Viviane Aleida Morales Hoyos;Cambio Radical;1,0.0,0.0
BUENAVISTA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;437,BUENAVISTA;German Vargas Lleras;Centro Democrático;437,0.0,0.0
BUENAVISTA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;281,BUENAVISTA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;281,0.0,0.0
BUENAVISTA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;25,BUENAVISTA;Humberto De La Calle Lombana;Partido de la U;25,0.0,0.0
BUENAVISTA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;1529,BUENAVISTA;Ivan Duque Marquez;Centro Democrático;1529,0.0,0.0
BUENAVISTA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;8,BUENAVISTA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;8,0.0,0.0
BUENAVISTA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;3,BUENAVISTA;Promotores Voto En Blanco;Promotores Voto En Blanco;3,0.0,0.0
BUENAVISTA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;190,BUENAVISTA;Sergio Fajardo Valderrama;Colombia Humana;190,0.0,0.0
BUENAVISTA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;13,BUENAVISTA;Viviane Aleida Morales Hoyos;Cambio Radical;13,0.0,0.0
BUSBANZA;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;31,BUSBANZA;German Vargas Lleras;Centro Democrático;31,0.0,0.0
BUSBANZA;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;82,BUSBANZA;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;82,0.0,0.0
BUSBANZA;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;8,BUSBANZA;Humberto De La Calle Lombana;Partido de la U;8,0.0,0.0
BUSBANZA;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;220,BUSBANZA;Ivan Duque Marquez;Centro Democrático;220,0.0,0.0
BUSBANZA;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;1,BUSBANZA;Jorge Antonio Trujillo Sarmiento;Cambio Radical;1,0.0,0.0
BUSBANZA;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;4,BUSBANZA;Promotores Voto En Blanco;Promotores Voto En Blanco;4,0.0,0.0
BUSBANZA;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;161,BUSBANZA;Sergio Fajardo Valderrama;Colombia Humana;161,0.0,0.0
BUSBANZA;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;1,BUSBANZA;Viviane Aleida Morales Hoyos;Cambio Radical;1,0.0,0.0
CALDAS;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;113,CALDAS;German Vargas Lleras;Centro Democrático;113,0.0,0.0
CALDAS;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;234,CALDAS;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;234,0.0,0.0
CALDAS;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;33,CALDAS;Humberto De La Calle Lombana;Partido de la U;33,0.0,0.0
CALDAS;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;835,CALDAS;Ivan Duque Marquez;Centro Democrático;835,0.0,0.0
CALDAS;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;4,CALDAS;Jorge Antonio Trujillo Sarmiento;Cambio Radical;4,0.0,0.0
CALDAS;PROMOTORES VOTO EN BLANCO;PROMOTORES VOTO EN BLANCO;2,CALDAS;Promotores Voto En Blanco;Promotores Voto En Blanco;2,0.0,0.0
CALDAS;SERGIO FAJARDO VALDERRAMA;COLOMBIA HUMANA;320,CALDAS;Sergio Fajardo Valderrama;Colombia Humana;320,0.0,0.0
CALDAS;VIVIANE ALEIDA MORALES HOYOS;CAMBIO RADICAL;4,CALDAS;Viviane Aleida Morales Hoyos;Cambio Radical;4,0.0,0.0
CAMPOHERMOSO;GERMAN VARGAS LLERAS;CENTRO DEMOCRATICO;264,CAMPOHERMOSO;German Vargas Lleras;Centro Democrático;264,0.0,0.0
CAMPOHERMOSO;GUSTAVO FRANCISCO PETRO URREGO;PARTIDO LIBERAL COLOMBIANO;119,CAMPOHERMOSO;Gustavo Francisco Petro Urrego;Partido Liberal Colombiano;119,0.0,0.0
CAMPOHERMOSO;HUMBERTO DE LA CALLE LOMBANA;PARTIDO DE LA U;9,CAMPOHERMOSO;Humberto De La Calle Lombana;Partido de la U;9,0.0,0.0
CAMPOHERMOSO;IVAN DUQUE MARQUEZ;CENTRO DEMOCRATICO;810,CAMPOHERMOSO;Ivan Duque Marquez;Centro Democrático;810,0.0,0.0
CAMPOHERMOSO;JORGE ANTONIO TRUJILLO SARMIENTO;CAMBIO RADICAL;3,CAMPOHERMOSO;Jorge Antonio Trujillo Sarmiento;Cambio Radical;3,0.0,0.0
