MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;555;1110;50.0
ALMEIDA;PARTIDO CAMBIO RADICAL;213;1110;19.189189
ALMEIDA;PARTIDO CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;158;1110;14.234234
ALMEIDA;PARTIDO SOCIAL DE LA U;43;1110;3.873874
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;28;1110;2.522523
ALMEIDA;Partido Cambio Radical;18;1110;1.621622
ALMEIDA;Partido Centro Democratico Mano Firme Corazon Grande;18;1110;1.621622
ALMEIDA;Partido Liberal Colombiano;17;1110;1.531532
ALMEIDA;PARTIDO ALIANZA VERDE;15;1110;1.351351
ALMEIDA;Partido Social De La U;11;1110;0.990991
ALMEIDA;PARTIDO OPCION CIUDADANA;9;1110;0.810811
ALMEIDA;Partido Alianza Verde;7;1110;0.630631
ALMEIDA;Partido Conservador Colombiano;5;1110;0.45045
ALMEIDA;POLO DEMOCRATICO ALTERNATIVO;4;1110;0.36036
ALMEIDA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;3;1110;0.27027
ALMEIDA;Movimiento Alternativo Indigena Y Social  Mais;3;1110;0.27027
ALMEIDA;Partido Opcion Ciudadana;2;1110;0.18018
ALMEIDA;Polo Democratico Alternativo;1;1110;0.09009
AQUITANIA;PARTIDO CONSERVADOR COLOMBIANO;2699;7111;37.955281
AQUITANIA;PARTIDO CAMBIO RADICAL;2432;7111;34.200534
AQUITANIA;PARTIDO CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;499;7111;7.017297
AQUITANIA;PARTIDO SOCIAL DE LA U;349;7111;4.907889
AQUITANIA;PARTIDO ALIANZA VERDE;188;7111;2.643791
AQUITANIA;Partido Centro Democratico Mano Firme Corazon Grande;185;7111;2.601603
AQUITANIA;Partido Conservador Colombiano;174;7111;2.446913
AQUITANIA;PARTIDO LIBERAL COLOMBIANO;127;7111;1.785965
AQUITANIA;Partido Cambio Radical;105;7111;1.476586
AQUITANIA;PARTIDO OPCION CIUDADANA;75;7111;1.054704
AQUITANIA;Partido Alianza Verde;75;7111;1.054704
AQUITANIA;Partido Social De La U;65;7111;0.914077
AQUITANIA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;61;7111;0.857826
AQUITANIA;Partido Liberal Colombiano;25;7111;0.351568
AQUITANIA;Movimiento Alternativo Indigena Y Social  Mais;23;7111;0.323443
AQUITANIA;Partido Opcion Ciudadana;13;7111;0.182815
AQUITANIA;Polo Democratico Alternativo;11;7111;0.15469
AQUITANIA;POLO DEMOCRATICO ALTERNATIVO;5;7111;0.070314
ARCABUCO;PARTIDO SOCIAL DE LA U;689;2650;26.0
ARCABUCO;PARTIDO CAMBIO RADICAL;650;2650;24.528302
ARCABUCO;PARTIDO LIBERAL COLOMBIANO;363;2650;13.698113
ARCABUCO;PARTIDO CONSERVADOR COLOMBIANO;251;2650;9.471698
ARCABUCO;PARTIDO CENTRO DEMOCRATICO MANO FIRME CORAZON GRANDE;216;2650;8.150943
ARCABUCO;PARTIDO ALIANZA VERDE;208;2650;7.849057
ARCABUCO;PARTIDO OPCION CIUDADANA;71;2650;2.679245
ARCABUCO;Partido Cambio Radical;37;2650;1.396226
ARCABUCO;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL  MAIS;35;2650;1.320755
ARCABUCO;Partido Liberal Colombiano;30;2650;1.132075
ARCABUCO;Partido Alianza Verde;26;2650;0.981132
ARCABUCO;Partido Social De La U;18;2650;0.679245
ARCABUCO;Partido Conservador Colombiano;17;2650;0.641509
ARCABUCO;Partido Centro Democratico Mano Firme Corazon Grande;15;2650;0.566038
