MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;CORRALES ESCOBAR ALEJANDRO;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;DEVIA ESCOBAR ALBERTO;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;ESCALANTE GARCIA JULIANA MARIA;PARTIDO CAMBIO RADICAL;1
ALMEIDA;ESCOBAR JARAMILLO LUIS ALFONSO;PARTIDO ALIANZA VERDE;1
ALMEIDA;GONZALEZ CORREA OLGA BEATRIZ;PARTIDO LIBERAL COLOMBIANO;1
ALMEIDA;GSC SI SE PUEDE;GSC SI SE PUEDE;1
ALMEIDA;GUERRERO PEREZ PABLO ANDRES;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;GUEVARA VILLABON CARLOS EDUARDO;PARTIDO POLITICO MIRA;1
ALMEIDA;HENRIQUEZ PINEDO HONORIO MIGUEL;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;LOMBANA GONZALEZ BLANCA YULIMA;PARTIDO ALIANZA VERDE;1
ALMEIDA;LOZANO CORREA ANGELICA LISBETH;PARTIDO ALIANZA VERDE;1
ALMEIDA;MARQUEZ ARISTIZABAL HERNANDO;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;MATUS ALVARADO MIGUEL ALBERTO;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;MERHEG MARUN JUAN SAMY;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;MONTENEGRO RUIZ VICTOR DEL CARMEN;PARTIDO ALIANZA VERDE;1
ALMEIDA;"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""";"MOVIMIENTO TODOS SOMOS COLOMBIA ""TSC""";1
ALMEIDA;MUNETON JARAMILLO LUZ ALBA;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;OLIVEROS REYES BELQUIS DENIDES;PARTIDO POLITICO MIRA;1
ALMEIDA;ORTIZ NOVA SANDRA LILIANA;PARTIDO ALIANZA VERDE;1
ALMEIDA;ORTIZ RAMOS OSWALDO FERRI;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;PALACIO VEGA GUILLERMO LEON;PARTIDO CAMBIO RADICAL;1
ALMEIDA;RAMIREZ LOPERA EDWIN JAVIER;PARTIDO OPCION CIUDADANA;1
ALMEIDA;RIANO CASTRO NANCY YANETH;PARTIDO ALIANZA VERDE;1
ALMEIDA;RIVERA CARRILLO FABIAN ORLANDO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1
ALMEIDA;ROBLEDO CASTILLO JORGE ENRIQUE;PARTIDO POLO DEMOCRATICO ALTERNATIVO;1
ALMEIDA;RODRIGUEZ MONTENEGRO JOSE ANTONIO;PARTIDO CAMBIO RADICAL;1
ALMEIDA;ROJAS ARANGO CONRADO DE JESUS;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;ROMERO SOTO MILLA PATRICIA;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;SANTAMARIA URIBE JOSE MIGUEL;PARTIDO CENTRO DEMOCRATICO;1
ALMEIDA;SERPA MONCADA HORACIO JOSE;PARTIDO LIBERAL COLOMBIANO;1
ALMEIDA;TOVAR MARROQUIN HUGO;PARTIDO CONSERVADOR COLOMBIANO;1
ALMEIDA;PACHECO CUELLO EDUARDO EMILIO;GSC COLOMBIA JUSTA LIBRES;0
ALMEIDA;PALACIO MIZRAHI EDGAR ENRIQUE;GSC COLOMBIA JUSTA LIBRES;0
ALMEIDA;RODRIGUEZ GONZALEZ JOHN MILTON;GSC COLOMBIA JUSTA LIBRES;0
AQUITANIA;CASTILLO CARDENAS DAVID FELIPE;PARTIDO CAMBIO RADICAL;2444
AQUITANIA;RAMIREZ CORTES CIRO ALEJANDRO;PARTIDO CENTRO DEMOCRATICO;449
AQUITANIA;URIBE VELEZ ALVARO;PARTIDO CENTRO DEMOCRATICO;229
AQUITANIA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;109
AQUITANIA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;96
AQUITANIA;GONZALEZ RODRIGUEZ AMANDA ROCIO;PARTIDO CENTRO DEMOCRATICO;70
AQUITANIA;MERLANO REBOLLEDO AIDA;PARTIDO CONSERVADOR COLOMBIANO;70
AQUITANIA;ROA LOPEZ OSMAN FERNANDO;PARTIDO CAMBIO RADICAL;66
AQUITANIA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;63
