MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;JOSE GIOVANY PINZON BAEZ;PACTO HISTORICO;28,ALMEIDA;JOSE GIOVANY PINZON BAEZ;PACTO HISTÓRICO;28,0.0,0.0
ALMEIDA;KAREN LUCIA MOLANO GRANADOS;PARTIDO ALIANZA VERDE;2,ALMEIDA;KAREN LUCIA MOLANO GRANADOS;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;KAROL RICARDO RAMIREZ SILVA;PACTO HISTORICO;5,ALMEIDA;KAROL RICARDO RAMIREZ SILVA;PACTO HISTÓRICO;5,0.0,0.0
ALMEIDA;LAURA ANDREA BELLO PORRAS;PARTIDO ALIANZA VERDE;2,ALMEIDA;LAURA ANDREA BELLO PORRAS;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;LEIDY ALEJANDRA MORENO SANCHEZ;PACTO HISTORICO;2,ALMEIDA;LEIDY ALEJANDRA MORENO SANCHEZ;PACTO HISTÓRICO;2,0.0,0.0
ALMEIDA;LUIS ALEJANDRO GUTIERREZ SANABRIA;PARTIDO ALIANZA VERDE;7,ALMEIDA;LUIS ALEJANDRO GUTIERREZ SANABRIA;PARTIDO ALIANZA VERDE;7,0.0,0.0
ALMEIDA;MAYDA CECILIA VELASQUEZ RUEDA;PARTIDO LIBERAL COLOMBIANO;8,ALMEIDA;MAYDA CECILIA VELASQUEZ RUEDA;PARTIDO LIBERAL COLOMBIANO;8,0.0,0.0
ALMEIDA;MAYRA ALEJANDRA VIANCHA SANABRIA;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;MAYRA ALEJANDRA VIANCHA SANABRIA;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;MONICA YANNETH QUIROGA CASTILLO;PARTIDO CAMBIO RADICAL;4,ALMEIDA;MONICA YANNETH QUIROGA CASTILLO;PARTIDO CAMBIO RADICAL;4,0.0,0.0
ALMEIDA;NIDIA MILENA TORRES PAEZ;PARTIDO CENTRO DEMOCRATICO;8,ALMEIDA;NIDIA MILENA TORRES PAEZ;PARTIDO CENTRO DEMOCRÁTICO;8,0.0,0.0
ALMEIDA;OLGA NATALIE MANRIQUE ABRIL;COALICION PARTIDOS DE LA U - MIRA - COLOMBIA JUSTA LIBRES - ASI;1,Colombia Justa Libres,0.0,0.0
ALMEIDA;OLGA YANETH BELTRAN DORADO;PARTIDO CENTRO DEMOCRATICO;12,ALMEIDA;OLGA YANETH BELTRAN DORADO;PARTIDO CENTRO DEMOCRÁTICO;12,0.0,0.0
ALMEIDA;OSCAR LEONARDO AVILA ROMERO;PARTIDO CAMBIO RADICAL;86,ALMEIDA;OSCAR LEONARDO AVILA ROMERO;PARTIDO CAMBIO RADICAL;86,0.0,0.0
ALMEIDA;PABLO EMILIO CEPEDA NOVOA;PARTIDO CAMBIO RADICAL;6,ALMEIDA;PABLO EMILIO CEPEDA NOVOA;PARTIDO CAMBIO RADICAL;6,0.0,0.0
ALMEIDA;PACTO HISTORICO;PACTO HISTORICO;4,ALMEIDA;PACTO HISTÓRICO;PACTO HISTÓRICO;4,0.0,0.0
ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;16,ALMEIDA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;16,0.0,0.0
ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;4,ALMEIDA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;4,0.0,0.0
ALMEIDA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;4,ALMEIDA;PARTIDO CENTRO DEMOCRÁTICO;PARTIDO CENTRO DEMOCRÁTICO;4,0.0,0.0
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;4,ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;4,0.0,0.0
ALMEIDA;PARTIDO INDIGENA COLOMBIANO P.I.C;PARTIDO INDIGENA COLOMBIANO P.I.C;1,ALMEIDA;PARTIDO INDÍGENA COLOMBIANO P.I.C;PARTIDO INDÍGENA COLOMBIANO P.I.C;1,0.0,0.0
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;3,ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;3,0.0,0.0
ALMEIDA;PARTIDO NUEVO LIBERALISMO;PARTIDO NUEVO LIBERALISMO;1,ALMEIDA;PARTIDO NUEVO LIBERALISMO;PARTIDO NUEVO LIBERALISMO;1,0.0,0.0
ALMEIDA;PEDRO JOSE SUAREZ VACCA;PACTO HISTORICO;2,ALMEIDA;PEDRO JOSE SUAREZ VACCA;PACTO HISTÓRICO;2,0.0,0.0
