MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
DUITAMA;JUAN CARLOS MONTANEZ JOYA;PARTIDO ALIANZA VERDE;398,DUITAMA;JUAN CARLOS MONTAÑEZ JOYA;PARTIDO ALIANZA VERDE;398,0.0,0.0
DUITAMA;JULIO ENRIQUE AMEZQUITA CARRENO;PARTIDO CAMBIO RADICAL;246,DUITAMA;JULIO ENRIQUE AMEZQUITA CARREÑO;PARTIDO CAMBIO RADICAL;246,0.0,0.0
DUITAMA;LAURA NATALY PUERTO PAIPA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;51,DUITAMA;LAURA NATALY PUERTO PAIPA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;51,0.0,0.0
DUITAMA;LINA MARIA BAYONA CUSPOCA;PARTIDO CENTRO DEMOCRATICO;20,DUITAMA;LINA MARIA BAYONA CUSPOCA;PARTIDO CENTRO DEMOCRATICO;20,0.0,0.0
DUITAMA;LUIS ALBERTO NINO MORENO;PARTIDO ALIANZA VERDE;422,DUITAMA;LUIS ALBERTO NIÑO MORENO;PARTIDO ALIANZA VERDE;422,0.0,0.0
DUITAMA;LUIS FELIPE ROJAS BARRERA;PARTIDO CENTRO DEMOCRATICO;64,DUITAMA;LUIS FELIPE ROJAS BARRERA;PARTIDO CENTRO DEMOCRATICO;64,0.0,0.0
DUITAMA;LUZ MAYERLI PERALTA NOSSA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;159,DUITAMA;LUZ MAYERLI PERALTA NOSSA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;159,0.0,0.0
DUITAMA;LYDIA YOLANDA BECERRA PACHECO;PARTIDO ALIANZA VERDE;349,DUITAMA;LYDIA YOLANDA BECERRA PACHECO;PARTIDO ALIANZA VERDE;349,0.0,0.0
DUITAMA;MAGDA LIZETH MERCHAN ZABALA;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;124,DUITAMA;MAGDA LIZETH MERCHAN ZABALA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;124,0.0,0.0
DUITAMA;MANUEL RICARDO PARRA VARGAS;PARTIDO ALIANZA VERDE;1204,DUITAMA;MANUEL RICARDO PARRA VARGAS;PARTIDO ALIANZA VERDE;1204,0.0,0.0
DUITAMA;MARIA CENAIDA CARRENO BLANCO;PARTIDO CAMBIO RADICAL;650,DUITAMA;MARIA CENAIDA CARREÑO BLANCO;PARTIDO CAMBIO RADICAL;650,0.0,0.0
DUITAMA;MARIA DEL CARMEN AMADO RAVELO;PARTIDO ALIANZA VERDE;46,DUITAMA;MARIA DEL CARMEN AMADO RAVELO;PARTIDO ALIANZA VERDE;46,0.0,0.0
DUITAMA;MARIA PAULA DIAZ SANABRIA;PARTIDO ALIANZA VERDE;741,DUITAMA;MARIA PAULA DIAZ SANABRIA;PARTIDO ALIANZA VERDE;741,0.0,0.0
DUITAMA;MARIA ROSALBA VALDERRAMA ALVARADO;PARTIDO CENTRO DEMOCRATICO;12,DUITAMA;MARIA ROSALBA VALDERRAMA ALVARADO;PARTIDO CENTRO DEMOCRATICO;12,0.0,0.0
DUITAMA;MARIANO LUIS HERNANDEZ GONZALEZ;PARTIDO ALIANZA VERDE;584,DUITAMA;MARIANO LUIS HERNANDEZ GONZALEZ;PARTIDO ALIANZA VERDE;584,0.0,0.0
DUITAMA;MARITZA FERNANDA SUANCHA CASTRO;PARTIDO LIBERAL COLOMBIANO;398,DUITAMA;MARITZA FERNANDA SUANCHA CASTRO;PARTIDO LIBERAL COLOMBIANO;398,0.0,0.0
DUITAMA;MARTHA EUGENIA TANGARIFE ARANGO;PARTIDO CAMBIO RADICAL;100,DUITAMA;MARTHA EUGENIA TANGARIFE ARANGO;PARTIDO CAMBIO RADICAL;100,0.0,0.0
DUITAMA;MARTHA ISABEL VILLAMIL CELIS;PARTIDO CAMBIO RADICAL;82,DUITAMA;MARTHA ISABEL VILLAMIL CELIS;PARTIDO CAMBIO RADICAL;82,0.0,0.0
DUITAMA;MARTHA LILIANA DELGADO FUENTES;PARTIDO CAMBIO RADICAL;228,DUITAMA;MARTHA LILIANA DELGADO FUENTES;PARTIDO CAMBIO RADICAL;228,0.0,0.0
DUITAMA;MAURICIO GAMBOA VELANDIA;PARTIDO ALIANZA VERDE;88,DUITAMA;MAURICIO GAMBOA VELANDIA;PARTIDO ALIANZA VERDE;88,0.0,0.0
DUITAMA;MIGUEL ANGEL RUEDA NARANJO;PARTIDO CAMBIO RADICAL;140,DUITAMA;MIGUEL ANGEL RUEDA NARANJO;PARTIDO CAMBIO RADICAL;140,0.0,0.0
DUITAMA;MYRIAM LUCIA BECERRA INFANTE;PARTIDO ALIANZA VERDE;226,DUITAMA;MYRIAM LUCIA BECERRA INFANTE;PARTIDO ALIANZA VERDE;226,0.0,0.0
DUITAMA;NUBIA HELENA ROJAS MENDIVELSO;PARTIDO CAMBIO RADICAL;140,DUITAMA;NUBIA HELENA ROJAS MENDIVELSO;PARTIDO CAMBIO RADICAL;140,0.0,0.0
DUITAMA;NURY MABEL DIAZ TORRES;PARTIDO ALIANZA VERDE;456,DUITAMA;NURY MABEL DIAZ TORRES;PARTIDO ALIANZA VERDE;456,0.0,0.0
DUITAMA;OLGA LUCIA RINCON GRANADOS;PARTIDO CAMBIO RADICAL;292,DUITAMA;OLGA LUCIA RINCON GRANADOS;PARTIDO CAMBIO RADICAL;292,0.0,0.0
DUITAMA;ORLANDO LOPEZ GUTIERREZ;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;96,DUITAMA;ORLANDO LOPEZ GUTIERREZ;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;96,0.0,0.0
DUITAMA;OSCAR ADOLFO ACEVEDO LOPEZ;PARTIDO ALIANZA VERDE;245,DUITAMA;OSCAR ADOLFO ACEVEDO LOPEZ;PARTIDO ALIANZA VERDE;245,0.0,0.0
DUITAMA;OSCAR JAVIER TIBADUIZA GARCIA;PARTIDO ALIANZA VERDE;177,DUITAMA;OSCAR JAVIER TIBADUIZA GARCIA;PARTIDO ALIANZA VERDE;177,0.0,0.0
DUITAMA;PAOLA ANDREA BAUTISTA GUZMAN;PARTIDO ALIANZA VERDE;95,DUITAMA;PAOLA ANDREA BAUTISTA GUZMAN;PARTIDO ALIANZA VERDE;95,0.0,0.0
DUITAMA;PAOLA YOLANDA LOPEZ VEGA;PARTIDO ALIANZA VERDE;283,DUITAMA;PAOLA YOLANDA LOPEZ VEGA;PARTIDO ALIANZA VERDE;283,0.0,0.0
DUITAMA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;2217,DUITAMA;PARTIDO ALIANZA VERDE;PARTIDO ALIANZA VERDE;2217,0.0,0.0
DUITAMA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;1219,DUITAMA;PARTIDO CAMBIO RADICAL;PARTIDO CAMBIO RADICAL;1219,0.0,0.0
DUITAMA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;39,DUITAMA;PARTIDO CENTRO DEMOCRATICO;PARTIDO CENTRO DEMOCRATICO;39,0.0,0.0
DUITAMA;PARTIDO COLOMBIA JUSTA LIBRES;PARTIDO COLOMBIA JUSTA LIBRES;3186,DUITAMA;PARTIDO COLOMBIA JUSTA LIBRES;PARTIDO COLOMBIA JUSTA LIBRES;3186,0.0,0.0
DUITAMA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;295,DUITAMA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;295,0.0,0.0
DUITAMA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;67,DUITAMA;PARTIDO POLO DEMOCRATICO ALTERNATIVO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;67,0.0,0.0
