MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Oscar Ivan Zuluaga Escobar;Centro Democrático;565
ALMEIDA;Juan Manuel Santos Calderon;Partido de la U;241
AQUITANIA;Oscar Ivan Zuluaga Escobar;Centro Democrático;5780
AQUITANIA;Juan Manuel Santos Calderon;Partido de la U;859
ARCABUCO;Oscar Ivan Zuluaga Escobar;Centro Democrático;1231
ARCABUCO;Juan Manuel Santos Calderon;Partido de la U;975
BELEN;Oscar Ivan Zuluaga Escobar;Centro Democrático;2246
BELEN;Juan Manuel Santos Calderon;Partido de la U;1152
BERBEO;Oscar Ivan Zuluaga Escobar;Centro Democrático;349
BERBEO;Juan Manuel Santos Calderon;Partido de la U;286
BETEITIVA;Juan Manuel Santos Calderon;Partido de la U;464
BETEITIVA;Oscar Ivan Zuluaga Escobar;Centro Democrático;442
BOAVITA;Oscar Ivan Zuluaga Escobar;Centro Democrático;1692
BOAVITA;Juan Manuel Santos Calderon;Partido de la U;656
BOYACA;Oscar Ivan Zuluaga Escobar;Centro Democrático;1282
BOYACA;Juan Manuel Santos Calderon;Partido de la U;660
BRICENO;Oscar Ivan Zuluaga Escobar;Centro Democrático;693
BRICENO;Juan Manuel Santos Calderon;Partido de la U;339
BUENAVISTA;Oscar Ivan Zuluaga Escobar;Centro Democrático;1536
BUENAVISTA;Juan Manuel Santos Calderon;Partido de la U;809
BUSBANZA;Oscar Ivan Zuluaga Escobar;Centro Democrático;247
BUSBANZA;Juan Manuel Santos Calderon;Partido de la U;122
CALDAS;Oscar Ivan Zuluaga Escobar;Centro Democrático;935
CALDAS;Juan Manuel Santos Calderon;Partido de la U;617
CAMPOHERMOSO;Oscar Ivan Zuluaga Escobar;Centro Democrático;845
CAMPOHERMOSO;Juan Manuel Santos Calderon;Partido de la U;442
CERINZA;Oscar Ivan Zuluaga Escobar;Centro Democrático;1045
CERINZA;Juan Manuel Santos Calderon;Partido de la U;577
CHINAVITA;Oscar Ivan Zuluaga Escobar;Centro Democrático;1058
CHINAVITA;Juan Manuel Santos Calderon;Partido de la U;455
CHIQUINQUIRA;Oscar Ivan Zuluaga Escobar;Centro Democrático;10583
CHIQUINQUIRA;Juan Manuel Santos Calderon;Partido de la U;8694
CHIQUIZA;Juan Manuel Santos Calderon;Partido de la U;1430
CHIQUIZA;Oscar Ivan Zuluaga Escobar;Centro Democrático;784
CHISCAS;Oscar Ivan Zuluaga Escobar;Centro Democrático;1395
CHISCAS;Juan Manuel Santos Calderon;Partido de la U;380
CHITA;Oscar Ivan Zuluaga Escobar;Centro Democrático;2744
CHITA;Juan Manuel Santos Calderon;Partido de la U;374
CHITARAQUE;Oscar Ivan Zuluaga Escobar;Centro Democrático;1422
CHITARAQUE;Juan Manuel Santos Calderon;Partido de la U;920
CHIVATA;Oscar Ivan Zuluaga Escobar;Centro Democrático;734
CHIVATA;Juan Manuel Santos Calderon;Partido de la U;687
CHIVOR;Oscar Ivan Zuluaga Escobar;Centro Democrático;640
CHIVOR;Juan Manuel Santos Calderon;Partido de la U;261
CIENEGA;Oscar Ivan Zuluaga Escobar;Centro Democrático;1836
CIENEGA;Juan Manuel Santos Calderon;Partido de la U;326
