MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Nancy Yaneth Vaca Gutierrez;PARTIDO CONSERVADOR COLOMBIANO;545
ALMEIDA;Carlos Alberto Acevedo Velasquez;PARTIDO ALIANZA VERDE;497
ALMEIDA;Carlos Arturo Martinez Perilla;PARTIDO CAMBIO RADICAL;310
ALMEIDA;Carlos Humberto Castañeda Vargas;NUEVA FUERZA DEMOCRÁTICA;149
ALMEIDA;Benedicta Caceres Medina;PARTIDO LIBERAL COLOMBIANO;34
AQUITANIA (PUEBLOVIEJO);Oscar Dario Hurtado Perez;PARTIDO CONSERVADOR COLOMBIANO;5147
AQUITANIA (PUEBLOVIEJO);Felipe Absalon Cardozo Montaña;COALICION FIRMES POR AQUITANIA;4393
AQUITANIA (PUEBLOVIEJO);Segundo Gilberto Gutierrez Perez;MOVIMIENTO POLITICO FUERZA CIUDADANA;70
AQUITANIA (PUEBLOVIEJO);Andres Humberto Mesa Cardozo;PARTIDO POLÍTICO DIGNIDAD & COMPROMISO;54
ARCABUCO;Carlos David Zarate Baez;POR LA DIGNIDAD DE ARCABUCO;1583
ARCABUCO;Remberg Fernando Saavedra Castellanos;ARCABUCO VERDE UNIDO POR LA GENTE;1202
ARCABUCO;Camilo Andres Silva Motta;COALICION UNIDOS ARCABUCO PROGRESA;1187
BELEN;Cabeto Perez Diaz;PARTIDO LIBERAL COLOMBIANO;2250
BELEN;Jose Wilmar Leal Abril;LO HICIMOS BIEN, UNIDOS LO HAREMOS MEJOR;1779
BELEN;Jorge Andres Parra Parra;PARTIDO CONSERVADOR COLOMBIANO;936
BELEN;Blanca Lucila Lopez Mora;PARTIDO VERDE OXÍGENO;121
BELEN;Henry Yobany Bautista Alvarez;INDEPENDIENTES;8
BERBEO;Sebastian Juez Arias;PARTIDO LIBERAL COLOMBIANO;729
BERBEO;Elmer Yesid Gamez Alfonso;BERBEO A PURO CORAZON;480
BERBEO;Carlos Alberto Guzman Mendoza;"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""";26
BETEITIVA;Ricardo Cristancho Fernandez;PARTIDO ALIANZA VERDE;686
BETEITIVA;Gerardo Salamanca Rincon;PARTIDO LIBERAL COLOMBIANO;602
BETEITIVA;Nelson Yecid Silva Daza;PARTIDO CAMBIO RADICAL;251
BETEITIVA;Eli Alvarez Cardenas;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";94
BOAVITA;Alberto Sandoval Valcarcel;UNIDOS POR EL DESARROLLO DE BOAVITA;1587
BOAVITA;David Ricardo Gayon Muñoz;PARTIDO CONSERVADOR COLOMBIANO;825
BOAVITA;Queipo Alexander Correa Correa;AGRUPACIÓN POLÍTICA EN MARCHA;614
BOAVITA;Gabriel Hernando Elizalde Araque;PARTIDO CENTRO DEMOCRÁTICO;75
BOAVITA;Juan Carlos Sanchez Suarez;MOVIMIENTO SALVACIÓN NACIONAL;60
BOAVITA;German Suarez Bernal;RENACER;57
BOAVITA;Gabriel Hernando Correa;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;26
BOYACA;Rafael Antonio Sora Camargo;JUNTOS POR EL FUTURO DE BOYACA;1830
BOYACA;Ezequiel Guerra Parada;UNIDOS PARA MARCAR LA DIFERENCIA POR BOYACA;1581
BOYACA;Olga Lucia Cruz Arcos;INDEPENDIENTES;307
BRICEÑO;Pedronel Villamil Castro;TODOS POR BRICEÑO;1007
BRICEÑO;Isel Ordoñez Sanchez;COMPROMETIDOS POR BRICEÑO;998
BUENAVISTA;Edwin Harvey Espitia Lara;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;1502
BUENAVISTA;Elkin Fabian Alarcon Pinilla;SUMATE AL CAMBIO;892
BUENAVISTA;Ovidio Parra Peña;PARTIDO CAMBIO RADICAL;783
BUENAVISTA;Cesar Mauricio Briceño Gonzalez;PARTIDO POLÍTICO CREEMOS;639
BUSBANZA;Rodolfo Andres Torres Agudelo;PARTIDO CONSERVADOR COLOMBIANO;489
BUSBANZA;Herminia Del Carmen Toledo Granados;PARTIDO ALIANZA VERDE;415
CALDAS;Diego Alejandro Lancheros Ruiz;COALICION LIBERAL;1038
CALDAS;Zamir Eduardo Castellanos Cortes;PARTIDO NUEVO LIBERALISMO;774
CALDAS;John Carlos Paez Cruz;COALICION CALDAS TERRITORIO DE OPORTUNIDADES;763
CALDAS;Ana Aidee Cañon Avella;"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""";20
CAMPOHERMOSO;Dario Montañez Peña;PARTIDO CONSERVADOR COLOMBIANO;796
CAMPOHERMOSO;Javier Alexander Ramirez Briceño;PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U;498
CAMPOHERMOSO;Camilo Andres Gutierrez Forero;AREMOS POR CAMPOHERMOSO;294
CAMPOHERMOSO;Jose Gerardo Sandoval Gomez;"PARTIDO ALIANZA SOCIAL INDEPENDIENTE ""ASI""";157
CAMPOHERMOSO;Hilda Silveria Romero Barrera;COALICION UNIDOS POR CAMPOHERMOSO;128
CERINZA;Luis Carlos Chia Hernandez;COALICION LCC;1028
CERINZA;Danilo Antonio Reyes Morantes;NUEVA FUERZA DEMOCRÁTICA;989
CERINZA;Marco Antonio Cucaita Martinez;MOVIMIENTO POLÍTICO COLOMBIA HUMANA;403
