MUNNOMBRE;PARNOMBRE;VOTOS
GACHANTIVA;JUNTOS #ESMOMENTO;532
GACHANTIVA;MAIS;86
GAMEZA;Colombia Renaciente;18
GAMEZA;GRAN ALIANZA POR BOYACA;2353
GAMEZA;JUNTOS #ESMOMENTO;512
GAMEZA;MAIS;59
GARAGOA;Colombia Renaciente;62
GARAGOA;GRAN ALIANZA POR BOYACA;5209
GARAGOA;JUNTOS #ESMOMENTO;1522
GARAGOA;MAIS;300
GUACAMAYAS;Colombia Renaciente;5
GUACAMAYAS;GRAN ALIANZA POR BOYACA;773
GUACAMAYAS;JUNTOS #ESMOMENTO;313
GUACAMAYAS;MAIS;21
GUATEQUE;Colombia Renaciente;40
GUATEQUE;GRAN ALIANZA POR BOYACA;3324
GUATEQUE;JUNTOS #ESMOMENTO;1632
GUATEQUE;MAIS;151
GUAYATA;Colombia Renaciente;15
GUAYATA;GRAN ALIANZA POR BOYACA;1429
GUAYATA;JUNTOS #ESMOMENTO;1168
GUAYATA;MAIS;32
GUICAN;Colombia Renaciente;21
GUICAN;GRAN ALIANZA POR BOYACA;1108
GUICAN;JUNTOS #ESMOMENTO;684
GUICAN;MAIS;95
IZA;Colombia Renaciente;29
IZA;GRAN ALIANZA POR BOYACA;1117
IZA;JUNTOS #ESMOMENTO;402
IZA;MAIS;51
JENESANO;Colombia Renaciente;203
JENESANO;GRAN ALIANZA POR BOYACA;2492
JENESANO;JUNTOS #ESMOMENTO;1329
JENESANO;MAIS;91
JERICO;Colombia Renaciente;13
JERICO;GRAN ALIANZA POR BOYACA;1452
JERICO;JUNTOS #ESMOMENTO;802
JERICO;MAIS;56
LA CAPILLA;Colombia Renaciente;19
LA CAPILLA;GRAN ALIANZA POR BOYACA;1461
LA CAPILLA;JUNTOS #ESMOMENTO;348
LA CAPILLA;MAIS;17
LA UVITA;Colombia Renaciente;47
LA UVITA;GRAN ALIANZA POR BOYACA;703
LA UVITA;JUNTOS #ESMOMENTO;928
LA UVITA;MAIS;81
LA VICTORIA;Colombia Renaciente;7
LA VICTORIA;GRAN ALIANZA POR BOYACA;515
LA VICTORIA;JUNTOS #ESMOMENTO;602
LA VICTORIA;MAIS;17
LABRANZAGRANDE;Colombia Renaciente;39
LABRANZAGRANDE;GRAN ALIANZA POR BOYACA;1112
LABRANZAGRANDE;JUNTOS #ESMOMENTO;1057
LABRANZAGRANDE;MAIS;78
MACANAL;Colombia Renaciente;2
MACANAL;GRAN ALIANZA POR BOYACA;1506
MACANAL;JUNTOS #ESMOMENTO;816
MACANAL;MAIS;33
MARIPI;Colombia Renaciente;7
MARIPI;GRAN ALIANZA POR BOYACA;2331
MARIPI;JUNTOS #ESMOMENTO;1516
MARIPI;MAIS;15
MIRAFLORES;Colombia Renaciente;40
MIRAFLORES;GRAN ALIANZA POR BOYACA;4687
MIRAFLORES;JUNTOS #ESMOMENTO;617
MIRAFLORES;MAIS;52
MONGUA;Colombia Renaciente;25
