MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
LA CAPILLA;Partido Liberal Colombiano;27;1854;1.46
LA CAPILLA;Partido de la U;880;1854;47.46
LA UVITA;Partido Conservador Colombiano;414;870;47.59
LA UVITA;Partido de la U;456;870;52.41
LA VICTORIA;Alianza Verde;6;1241;0.48
LA VICTORIA;Centro Democrático;659;1241;53.1
LA VICTORIA;Partido Liberal Colombiano;576;1241;46.41
LABRANZAGRANDE;Partido Liberal Colombiano;478;478;100.0
MACANAL;Alianza Social Independiente;289;2481;11.65
MACANAL;Centro Democrático;91;2481;3.67
MACANAL;Partido Conservador Colombiano;1389;2481;55.99
MACANAL;Partido de la U;712;2481;28.7
MARIPI;Partido Liberal Colombiano;2220;2220;100.0
MIRAFLORES;Partido Liberal Colombiano;1158;3648;31.74
MIRAFLORES;Partido de la U;2490;3648;68.26
MONGUA;Alianza Social Independiente;229;1585;14.45
MONGUA;Centro Democrático;157;1585;9.91
MONGUA;Partido Conservador Colombiano;1199;1585;75.65
MONGUI;Partido Conservador Colombiano;1358;1358;100.0
MONIQUIRA;Alianza Verde;2694;10576;25.47
MONIQUIRA;Centro Democrático;739;10576;6.99
MONIQUIRA;Partido Conservador Colombiano;2137;10576;20.21
MONIQUIRA;Partido Liberal Colombiano;840;10576;7.94
MONIQUIRA;Partido de la U;4166;10576;39.39
MOTAVITA;Alianza Verde;1742;3918;44.46
MOTAVITA;Centro Democrático;325;3918;8.3
MOTAVITA;Partido Liberal Colombiano;1851;3918;47.24
MUZO;Partido Conservador Colombiano;1685;1685;100.0
NOBSA;Alianza Social Independiente;4191;4853;86.36
NOBSA;Alianza Verde;238;4853;4.9
NOBSA;Centro Democrático;424;4853;8.74
OICATA;Alianza Social Independiente;26;414;6.28
OICATA;Centro Democrático;306;414;73.91
OICATA;Partido Liberal Colombiano;82;414;19.81
OTANCHE;Alianza Verde;636;4050;15.7
OTANCHE;Centro Democrático;1859;4050;45.9
OTANCHE;Partido Conservador Colombiano;1555;4050;38.4
PACHAVITA;Alianza Verde;455;1459;31.19
PACHAVITA;Centro Democrático;768;1459;52.64
PACHAVITA;Partido Conservador Colombiano;236;1459;16.18
PAEZ;Alianza Verde;74;1786;4.14
PAEZ;Centro Democrático;523;1786;29.28
PAEZ;Partido Liberal Colombiano;660;1786;36.95
PAEZ;Partido de la U;529;1786;29.62
PAIPA;Alianza Social Independiente;671;5313;12.63
PAIPA;Alianza Verde;318;5313;5.99
PAIPA;Centro Democrático;146;5313;2.75
PAIPA;Partido Conservador Colombiano;3956;5313;74.46
PAIPA;Partido de la U;222;5313;4.18
PAJARITO;Alianza Social Independiente;4;1334;0.3
PAJARITO;Partido Liberal Colombiano;452;1334;33.88
PAJARITO;Partido de la U;878;1334;65.82
PANQUEBA;Centro Democrático;660;1182;55.84
PANQUEBA;Partido de la U;522;1182;44.16
PAUNA;Alianza Social Independiente;5;4323;0.12
