MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
CHIQUIZA;Carlos Eduardo Borras Buitrago;LO HAREMOS MEJOR;1583
CHIQUIZA;Ivan Rene Suarez Rivera;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;292
CHISCAS;Camilo Andres Caicedo Silva;PARA SERVIRLE SUMERCE;1129
CHISCAS;Reinaldo Esteban Nuñez;UNIDOS CONSTRUIMOS FUTURO;602
CHISCAS;Gerson Aymer Ruiz Carreño;PARTIDO CENTRO DEMOCRATICO;407
CHITA;Jose Miguel Velandia Alarcon;PARTIDO CAMBIO RADICAL;2252
CHITA;Vladimir Riscanevo Poblador;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U;1824
CHITARAQUE;Fabian Armando Silva Sanchez;CON EL ALMA POR CHITARAQUE;2573
CHITARAQUE;Luis Francisco Daza Tellez;UNIDOS SEGUIMOS AVANZANDO POR CHITARAQUE;1069
CHITARAQUE;Mabel Alvarez Hernandez;PARTIDO CONSERVADOR  - ASI;395
CHITARAQUE;Cesar Camilo Ulloa Mosquera;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;84
CHIVATA;Rafael Antonio Fonseca Cely;PARTIDO SOCIAL UNIDAD NACIONAL - PARTIDO ALIANZA  SOCIAL INDEPENDIENTE - ASI;742
CHIVATA;Jose Joaquin Cruz Gambasica;PARTIDO CONSERVADOR COLOMBIANO  - CAMBIO RADICAL - CENTRO DEMOCRATICO;643
CHIVATA;Yesid Alexander Bernal Hernandez;COALICION LABRANDO FUTURO;630
CHIVATA;Milton Dario Bernal Bautista;CULTIVEMOS CHIVATA - MAIS;206
CHIVOR;Didier Aurelio Martinez Vargas;PARTIDO CENTRO DEMOCRATICO;580
CHIVOR;Viviana Paola Martin Arevalo;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;372
CHIVOR;Ana Yolanda Hernandez Daza;PARTIDO ALIANZA VERDE;182
CHIVOR;Diana Mirella Montenegro Daza;PARTIDO CAMBIO RADICAL;108
CHIVOR;Didier Mauricio Bernal Mondragon;PARTIDO CONSERVADOR COLOMBIANO;23
CIENEGA;Ramiro Fonseca Cruz;PARTIDO CENTRO DEMOCRATICO;1557
CIENEGA;William Camilo Barreto Gonzalez;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U - CAMBIO RADICAL;1483
COMBITA;Nelson Perez Suarez;SOMOS MAS;4622
COMBITA;Nelson Rafael Parra Sandoval;LA INCLUSION NUESTRO COMPROMISO;2295
COPER;Aurora Del Carmen Nieto Molina;COALICION ALCALDIA DE COPER;963
COPER;Ricardo Valbuena Moreno;PARTIDO ALIANZA VERDE;789
COPER;Jose Ambrosio Roncancio;PARTIDO CENTRO DEMOCRATICO;571
CORRALES;Pedro Antonio Lopez Prieto;PARTIDO CONSERVADOR COLOMBIANO;1398
COVARACHIA;Wilson Isay Moreno Vega;PARTIDO CONSERVADOR COLOMBIANO;1451
COVARACHIA;Luis Alfonso Camacho Tellez;PARTIDO ALIANZA VERDE;794
COVARACHIA;Omar Albeiro Aguilar Albarracin;PARTIDO CAMBIO RADICAL;16
COVARACHIA;Carlos Francisco Gualdron Gualdron;PARTIDO CENTRO DEMOCRATICO;2
CUBARA;Aura Benilda Tegria Cristancho;TODOS POR CUBARA;1169
CUBARA;Gildardo Murcia Buitrago;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;822
CUBARA;Jesica Maribel Contreras Bautista;PARTIDO CONSERVADOR COLOMBIANO;578
CUBARA;Raul Jimenez Moreno;PARTIDO POLO DEMOCRATICO ALTERNATIVO;327
CUBARA;Yeiner Arlex Santamaria Martinez;PARTIDO CENTRO DEMOCRATICO;255
CUCAITA;Jose Moises Castillo Duarte;PARTIDO CONSERVADOR COLOMBIANO;1004
CUCAITA;Marcos Daniel Borda Parra;COLOMBIA HUMANA - UNION PATRIOTICA;632
CUCAITA;Fabian Antonio Castellanos Niño;UNIDOS POR EL MEDIO AMBIENTE Y EL DESARROLLO DEL CAMPO;576
CUCAITA;Enid Margaret Ovalle Salazar;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;386
CUCAITA;Nelson Enrique Vargas Gil;PARTIDO LIBERAL COLOMBIANO;104
CUCAITA;Jose Antonio Sierra Alvarado;CUCAITA CON VISION OBRAS Y DESARROLLO;39
CUITIVA;Segundo Aldemar Toca Suarez;ALIANZA PARA EL DESARROLLO;1014
CUITIVA;Delci Del Carmen Urbano;PARTIDO CENTRO DEMOCRATICO;216
CUITIVA;Jhon Dario Gutierrez Amezquita;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;114
CUITIVA;Dirier Fabian Chaparro Suarez;PARTIDO CAMBIO RADICAL;57
DUITAMA;Constanza Isabel Ramirez Acevedo;PARTIDO CAMBIO RADICAL;21208
DUITAMA;Hernel David Ortega Gomez;PARTIDO LIBERAL COLOMBIANO;16024
DUITAMA;German Tiberio Ojeda Pedraza;SOMOS DUITAMA CIUDAD CREATIVA;10670
DUITAMA;Edgar Eysenober Baez Conde;PARTIDO CONSERVADOR COLOMBIANO;3768
DUITAMA;Fernando Alfonso Bayona Rincon;COLOMBIA HUMANA - UNION PATRIOTICA;1981
DUITAMA;Oscar Fernando Serrano Gonzalez;PARTIDO COLOMBIA JUSTA LIBRES;1496
DUITAMA;Roberto Mayorga Mayorga;PARTIDO ADA;588
DUITAMA;Pedro Pablo Siaucho Cristancho;"PARTIDO DE REIVINDICACION ETNICA ""PRE""";200
EL COCUY;Tomas Ruiz Silva;PARTIDO CENTRO DEMOCRATICO;913
