MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Jairo Enrique Castiblanco Parra;Partido de la U;164
ALMEIDA;Humphrey Roa Sarmiento;Partido Conservador Colombiano;136
ALMEIDA;Rafael Antonio Rojas Benavides;Cambio Radical;47
ALMEIDA;Luis Alejandro Gutierrez Sanabria;Partido Liberal Colombiano;29
ALMEIDA;William Jose Gonzalez Lizarazo;Cambio Radical;27
ALMEIDA;Cristobal Rodriguez Hernandez;Partido de la U;22
ALMEIDA;Fernando Alexander Serrato Fonseca;Centro Democrático;22
ALMEIDA;Rodrigo Arturo Rojas Lara;Partido de la U;22
ALMEIDA;Centro Democratico Mano Firme Corazon Grande;Centro Democrático;18
ALMEIDA;Partido De La U;Partido de la U;18
ALMEIDA;Mayda Cecilia Velasquez Rueda;Partido Liberal Colombiano;15
ALMEIDA;Partido Conservador Colombiano;Partido Conservador Colombiano;15
ALMEIDA;Partido Cambio Radical;Cambio Radical;12
ALMEIDA;Carmen Rocio Rojas Alvarez;Polo Democrático Alternativo;11
ALMEIDA;Katherinne Rivera Bohorquez;Centro Democrático;11
ALMEIDA;Nelly Elizabeth Buitrago Ramirez;Cambio Radical;9
ALMEIDA;Ciro Alejandro Ramirez Cortes;Centro Democrático;8
ALMEIDA;Irma Edilsa Caro De Pulido;Partido de la U;8
ALMEIDA;Nini Johana Gutierrez Guerrero;Partido Conservador Colombiano;8
ALMEIDA;Partido Alianza Verde;Alianza Verde;7
ALMEIDA;Partido Liberal Colombiano;Partido Liberal Colombiano;7
ALMEIDA;Rafael Romero Pineros;Partido Liberal Colombiano;7
ALMEIDA;Gustavo Hernan Puentes Diaz;Partido Conservador Colombiano;6
ALMEIDA;Sandra Liliana Ortiz Nova;Alianza Verde;6
ALMEIDA;Edwin Crisanto Bohorquez Mora;Alianza Verde;4
ALMEIDA;German Suarez Bernal;Polo Democrático Alternativo;4
ALMEIDA;Alba Luz Gonzalez Martinez;Partido Conservador Colombiano;3
ALMEIDA;Alfredo De Jesus Montiel Barrios;Movimiento MIRA;3
ALMEIDA;Mayra Alejandra Viancha Sanabria;Centro Democrático;3
ALMEIDA;Cesar Augusto Lopez Morales;Partido Liberal Colombiano;2
ALMEIDA;Fernando Sandoval Rodriguez;Partido Liberal Colombiano;2
ALMEIDA;Humberto Israel Castillo Rios;Cambio Radical;2
ALMEIDA;Javier Adriano Sanabria Suarez;Cambio Radical;2
ALMEIDA;Juddy Alexandra Jimenez Cuadros;Partido de la U;2
ALMEIDA;Laura Andrea Bello Porras;Polo Democrático Alternativo;2
ALMEIDA;Partido Union Patriotica  Up;Partido Union Patriotica  Up;2
ALMEIDA;Ruth Nelssy Garcia Vargas;Movimiento MIRA;2
ALMEIDA;Benigno Hernan Diaz Cardenas;Centro Democrático;1
ALMEIDA;Floralba Piragauta Perez;Partido Liberal Colombiano;1
ALMEIDA;Francisco Javier Parra Parra;Movimiento MIRA;1
ALMEIDA;Luz Myriam Contreras Escobar;Alianza Verde;1
ALMEIDA;Maryory Catherin Ortiz Alvarez;PARTIDO UNION PATRIOTICA  UP;1
ALMEIDA;Movimiento Mira;Movimiento MIRA;1
ALMEIDA;Polo Democratico Alternativo;Polo Democrático Alternativo;1
ALMEIDA;Yamir Oswaldo Lopez Pena;Alianza Verde;1
AQUITANIA;Rodrigo Arturo Rojas Lara;Partido de la U;490
AQUITANIA;Gustavo Hernan Puentes Diaz;Partido Conservador Colombiano;463
AQUITANIA;Humphrey Roa Sarmiento;Partido Conservador Colombiano;433
AQUITANIA;Cristobal Rodriguez Hernandez;Partido de la U;318
AQUITANIA;Centro Democratico Mano Firme Corazon Grande;Centro Democrático;311
AQUITANIA;Rafael Antonio Rojas Benavides;Cambio Radical;233
AQUITANIA;Ciro Alejandro Ramirez Cortes;Centro Democrático;205
AQUITANIA;Fernando Alexander Serrato Fonseca;Centro Democrático;171
AQUITANIA;Partido Conservador Colombiano;Partido Conservador Colombiano;165
AQUITANIA;Luis Alejandro Gutierrez Sanabria;Partido Liberal Colombiano;117
AQUITANIA;Partido De La U;Partido de la U;82
AQUITANIA;Jairo Enrique Castiblanco Parra;Partido de la U;79
AQUITANIA;Katherinne Rivera Bohorquez;Centro Democrático;79
AQUITANIA;Alba Luz Gonzalez Martinez;Partido Conservador Colombiano;66
AQUITANIA;William Jose Gonzalez Lizarazo;Cambio Radical;63
AQUITANIA;Yamir Oswaldo Lopez Pena;Alianza Verde;57
AQUITANIA;Jorge Alberto Herrera Jaime;Alianza Verde;52
AQUITANIA;Nini Johana Gutierrez Guerrero;Partido Conservador Colombiano;47
AQUITANIA;Cesar Augusto Lopez Morales;Partido Liberal Colombiano;45
AQUITANIA;Benigno Hernan Diaz Cardenas;Centro Democrático;38
AQUITANIA;Partido Cambio Radical;Cambio Radical;38
AQUITANIA;Sandra Liliana Ortiz Nova;Alianza Verde;38
AQUITANIA;Partido Alianza Verde;Alianza Verde;37
AQUITANIA;Irma Edilsa Caro De Pulido;Partido de la U;33
AQUITANIA;Carmen Rocio Rojas Alvarez;Polo Democrático Alternativo;31
AQUITANIA;Diego Fernando Martinez Sanchez;Movimiento MIRA;29
AQUITANIA;German Suarez Bernal;Polo Democrático Alternativo;25
AQUITANIA;Victor Emilio Pedraza Chaparro;Partido Conservador Colombiano;25
AQUITANIA;Rafael Romero Pineros;Partido Liberal Colombiano;23
AQUITANIA;Maryory Catherin Ortiz Alvarez;PARTIDO UNION PATRIOTICA  UP;21
AQUITANIA;Partido Liberal Colombiano;Partido Liberal Colombiano;19
AQUITANIA;Polo Democratico Alternativo;Polo Democrático Alternativo;19
AQUITANIA;Javier Adriano Sanabria Suarez;Cambio Radical;16
AQUITANIA;Luis Fernando Avila Blanco;Partido Conservador Colombiano;15
AQUITANIA;Walter Esteven Benavides Cifuentes;Polo Democrático Alternativo;15
AQUITANIA;Mayda Cecilia Velasquez Rueda;Partido Liberal Colombiano;12
AQUITANIA;Mayra Alejandra Viancha Sanabria;Centro Democrático;11
AQUITANIA;Movimiento Mira;Movimiento MIRA;11
AQUITANIA;Edwin Crisanto Bohorquez Mora;Alianza Verde;10
AQUITANIA;Alfredo De Jesus Montiel Barrios;Movimiento MIRA;8
AQUITANIA;Nelly Elizabeth Buitrago Ramirez;Cambio Radical;8
AQUITANIA;Humberto Israel Castillo Rios;Cambio Radical;7
AQUITANIA;Juan Carlos Coronado;Polo Democrático Alternativo;7
AQUITANIA;Laura Andrea Bello Porras;Polo Democrático Alternativo;7
AQUITANIA;Nancy Yamile Martinez Torres;Movimiento MIRA;6
AQUITANIA;Juddy Alexandra Jimenez Cuadros;Partido de la U;5
AQUITANIA;Partido Union Patriotica  Up;Partido Union Patriotica  Up;5
AQUITANIA;Ruth Nelssy Garcia Vargas;Movimiento MIRA;4
AQUITANIA;Fernando Sandoval Rodriguez;Partido Liberal Colombiano;3
AQUITANIA;Floralba Piragauta Perez;Partido Liberal Colombiano;3
AQUITANIA;Luz Myriam Contreras Escobar;Alianza Verde;3
AQUITANIA;Mov Unidad Indigena Y Popular Por Col Muipc;Mov Unidad Indigena Y Popular Por Col Muipc;3
AQUITANIA;Francisco Javier Parra Parra;Movimiento MIRA;2
AQUITANIA;Jose Carmen Julio Marquez Chia;Polo Democrático Alternativo;2
AQUITANIA;Sandra Yaneth Lopez Duenas;Cambio Radical;2
AQUITANIA;Aimac;Aimac;1
AQUITANIA;Asoc Regional De Afrocol La Minga Afrominga;Asoc Regional De Afrocol La Minga Afrominga;1
AQUITANIA;Asociacion De Autoridades Tradicionales Indigenas Opic;Asociacion De Autoridades Tradicionales Indigenas Opic;1
AQUITANIA;Asoconegua;Asoconegua;1
AQUITANIA;Carlos Hector Caicedo Balanta;MOVIMIENTO DE INCLUSION Y OPORTUNIDADES;1
AQUITANIA;Francisco Jose Grijalba Silva;Alianza Verde;1
AQUITANIA;Francisco Solano Cuenu Mancilla;ASOC REGIONAL DE AFROCOL LA MINGA AFROMINGA;1
