MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Alianza Verde;54;926;5.83
ALMEIDA;Partido Conservador Colombiano;11;926;1.19
ALMEIDA;Partido Liberal Colombiano;62;926;6.7
ALMEIDA;Partido PIN;2;926;0.22
ALMEIDA;Partido de la U;797;926;86.07
AQUITANIA;Alianza Verde;459;7319;6.27
AQUITANIA;Movimiento MIRA;7;7319;0.1
AQUITANIA;Partido Conservador Colombiano;61;7319;0.83
AQUITANIA;Partido Liberal Colombiano;344;7319;4.7
AQUITANIA;Partido PIN;4;7319;0.05
AQUITANIA;Partido de la U;6435;7319;87.92
AQUITANIA;Polo Democrático Alternativo;9;7319;0.12
ARCABUCO;Alianza Verde;515;2117;24.33
ARCABUCO;Movimiento MIRA;5;2117;0.24
ARCABUCO;Partido Conservador Colombiano;165;2117;7.79
ARCABUCO;Partido Liberal Colombiano;266;2117;12.56
ARCABUCO;Partido PIN;9;2117;0.43
ARCABUCO;Partido de la U;1149;2117;54.27
ARCABUCO;Polo Democrático Alternativo;8;2117;0.38
BELEN;Alianza Verde;482;3452;13.96
BELEN;Movimiento MIRA;4;3452;0.12
BELEN;Partido Conservador Colombiano;455;3452;13.18
BELEN;Partido Liberal Colombiano;622;3452;18.02
BELEN;Partido PIN;6;3452;0.17
BELEN;Partido de la U;1880;3452;54.46
BELEN;Polo Democrático Alternativo;3;3452;0.09
BERBEO;Alianza Verde;225;773;29.11
BERBEO;Movimiento MIRA;1;773;0.13
BERBEO;Partido Conservador Colombiano;30;773;3.88
BERBEO;Partido Liberal Colombiano;59;773;7.63
BERBEO;Partido de la U;458;773;59.25
BETEITIVA;Alianza Verde;160;874;18.31
BETEITIVA;Movimiento MIRA;1;874;0.11
BETEITIVA;Partido Conservador Colombiano;119;874;13.62
BETEITIVA;Partido Liberal Colombiano;119;874;13.62
BETEITIVA;Partido PIN;3;874;0.34
BETEITIVA;Partido de la U;471;874;53.89
BETEITIVA;Polo Democrático Alternativo;1;874;0.11
BOAVITA;Alianza Verde;408;2515;16.22
BOAVITA;Movimiento MIRA;6;2515;0.24
BOAVITA;Partido Conservador Colombiano;8;2515;0.32
BOAVITA;Partido Liberal Colombiano;276;2515;10.97
BOAVITA;Partido PIN;9;2515;0.36
BOAVITA;Partido de la U;1806;2515;71.81
BOAVITA;Polo Democrático Alternativo;2;2515;0.08
BOYACA;Alianza Verde;345;1767;19.52
BOYACA;Movimiento MIRA;11;1767;0.62
BOYACA;Partido Conservador Colombiano;224;1767;12.68
BOYACA;Partido Liberal Colombiano;199;1767;11.26
BOYACA;Partido PIN;3;1767;0.17
BOYACA;Partido de la U;979;1767;55.4
BOYACA;Polo Democrático Alternativo;6;1767;0.34
BRICENO;Alianza Verde;85;988;8.6
BRICENO;Partido Conservador Colombiano;3;988;0.3
BRICENO;Partido Liberal Colombiano;127;988;12.85
BRICENO;Partido PIN;2;988;0.2
BRICENO;Partido de la U;769;988;77.83
BRICENO;Polo Democrático Alternativo;2;988;0.2
BUENAVISTA;Alianza Verde;241;2339;10.3
BUENAVISTA;Movimiento MIRA;8;2339;0.34
BUENAVISTA;Partido Conservador Colombiano;182;2339;7.78
BUENAVISTA;Partido Liberal Colombiano;236;2339;10.09
BUENAVISTA;Partido PIN;10;2339;0.43
BUENAVISTA;Partido de la U;1654;2339;70.71
BUENAVISTA;Polo Democrático Alternativo;8;2339;0.34
BUSBANZA;Alianza Verde;53;388;13.66
BUSBANZA;Movimiento MIRA;1;388;0.26
BUSBANZA;Partido Conservador Colombiano;20;388;5.15
BUSBANZA;Partido Liberal Colombiano;55;388;14.18
BUSBANZA;Partido PIN;1;388;0.26
BUSBANZA;Partido de la U;257;388;66.24
BUSBANZA;Polo Democrático Alternativo;1;388;0.26
CALDAS;Alianza Verde;248;1664;14.9
CALDAS;Movimiento MIRA;8;1664;0.48
CALDAS;Partido Conservador Colombiano;226;1664;13.58
CALDAS;Partido Liberal Colombiano;256;1664;15.38
CALDAS;Partido PIN;4;1664;0.24
CALDAS;Partido de la U;921;1664;55.35
CALDAS;Polo Democrático Alternativo;1;1664;0.06
CAMPOHERMOSO;Alianza Verde;98;1382;7.09
CAMPOHERMOSO;Partido Conservador Colombiano;30;1382;2.17
CAMPOHERMOSO;Partido Liberal Colombiano;116;1382;8.39
CAMPOHERMOSO;Partido PIN;2;1382;0.14
CAMPOHERMOSO;Partido de la U;1133;1382;81.98
CAMPOHERMOSO;Polo Democrático Alternativo;3;1382;0.22
CERINZA;Alianza Verde;317;1847;17.16
CERINZA;Movimiento MIRA;4;1847;0.22
CERINZA;Partido Conservador Colombiano;24;1847;1.3
CERINZA;Partido Liberal Colombiano;389;1847;21.06
CERINZA;Partido PIN;9;1847;0.49
CERINZA;Partido de la U;1101;1847;59.61
CERINZA;Polo Democrático Alternativo;3;1847;0.16
CHINAVITA;Alianza Verde;122;1547;7.89
CHINAVITA;Movimiento MIRA;2;1547;0.13
CHINAVITA;Partido Conservador Colombiano;19;1547;1.23
