MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Cambio Radical;369;1311;28.15
ALMEIDA;Centro Democrático;358;1311;27.31
ALMEIDA;Opción Ciudadana;270;1311;20.59
ALMEIDA;Partido Conservador Colombiano;116;1311;8.85
ALMEIDA;Partido de la U;198;1311;15.1
AQUITANIA;Alianza Social Independiente;1038;8076;12.85
AQUITANIA;Alianza Verde;707;8076;8.75
AQUITANIA;Cambio Radical;1034;8076;12.8
AQUITANIA;Centro Democrático;1027;8076;12.72
AQUITANIA;MAIS;484;8076;5.99
AQUITANIA;Opción Ciudadana;469;8076;5.81
AQUITANIA;Partido Conservador Colombiano;1931;8076;23.91
AQUITANIA;Partido Liberal Colombiano;254;8076;3.15
AQUITANIA;Partido de la U;1132;8076;14.02
ARCABUCO;Alianza Verde;580;3194;18.16
ARCABUCO;Cambio Radical;464;3194;14.53
ARCABUCO;Centro Democrático;256;3194;8.02
ARCABUCO;Opción Ciudadana;380;3194;11.9
ARCABUCO;Partido Conservador Colombiano;530;3194;16.59
ARCABUCO;Partido Liberal Colombiano;453;3194;14.18
ARCABUCO;Partido de la U;531;3194;16.62
BELEN;Alianza Verde;876;4651;18.83
BELEN;Cambio Radical;360;4651;7.74
BELEN;Partido Conservador Colombiano;1653;4651;35.54
BELEN;Partido Liberal Colombiano;918;4651;19.74
BELEN;Partido de la U;844;4651;18.15
BERBEO;Alianza Social Independiente;86;1076;7.99
BERBEO;Alianza Verde;250;1076;23.23
BERBEO;Cambio Radical;127;1076;11.8
BERBEO;Centro Democrático;112;1076;10.41
BERBEO;Partido Alianza Social Independiente  Asi;0;1076;0.0
BERBEO;Partido Liberal Colombiano;247;1076;22.96
BERBEO;Partido de la U;254;1076;23.61
BETEITIVA;Alianza Verde;232;1489;15.58
BETEITIVA;Cambio Radical;365;1489;24.51
BETEITIVA;Partido Conservador Colombiano;283;1489;19.01
BETEITIVA;Partido Liberal Colombiano;290;1489;19.48
BETEITIVA;Partido de la U;319;1489;21.42
BOAVITA;Alianza Verde;765;3019;25.34
BOAVITA;Cambio Radical;487;3019;16.13
BOAVITA;Opción Ciudadana;531;3019;17.59
BOAVITA;Partido Conservador Colombiano;810;3019;26.83
BOAVITA;Partido de la U;358;3019;11.86
BOAVITA;Polo Democrático Alternativo;68;3019;2.25
BOYACA;Centro Democrático;712;2979;23.9
BOYACA;Opción Ciudadana;553;2979;18.56
BOYACA;Partido Liberal Colombiano;1005;2979;33.74
BOYACA;Partido de la U;709;2979;23.8
BRICENO;Alianza Social Independiente;266;1476;18.02
BRICENO;Alianza Verde;295;1476;19.99
BRICENO;Cambio Radical;272;1476;18.43
BRICENO;Opción Ciudadana;230;1476;15.58
BRICENO;Partido Conservador Colombiano;413;1476;27.98
BUENAVISTA;Cambio Radical;1116;3185;35.04
BUENAVISTA;Centro Democrático;1110;3185;34.85
BUENAVISTA;Partido Conservador Colombiano;54;3185;1.7
BUENAVISTA;Partido de la U;905;3185;28.41
BUSBANZA;Alianza Social Independiente;230;659;34.9
BUSBANZA;Alianza Verde;122;659;18.51
BUSBANZA;Partido Conservador Colombiano;307;659;46.59
CALDAS;Alianza Verde;164;2213;7.41
CALDAS;Cambio Radical;416;2213;18.8
CALDAS;Centro Democrático;361;2213;16.31
CALDAS;Partido Conservador Colombiano;467;2213;21.1
CALDAS;Partido Liberal Colombiano;357;2213;16.13
CALDAS;Partido de la U;447;2213;20.2
CALDAS;Revocado (A);1;2213;0.05
CAMPOHERMOSO;Alianza Social Independiente;204;1565;13.04
CAMPOHERMOSO;Alianza Verde;160;1565;10.22
CAMPOHERMOSO;Cambio Radical;367;1565;23.45
CAMPOHERMOSO;Centro Democrático;390;1565;24.92
CAMPOHERMOSO;Partido Conservador Colombiano;280;1565;17.89
CAMPOHERMOSO;Partido Liberal Colombiano;164;1565;10.48
CERINZA;Alianza Verde;457;2534;18.03
CERINZA;Cambio Radical;532;2534;20.99
CERINZA;Partido Conservador Colombiano;811;2534;32.0
CERINZA;Partido de la U;734;2534;28.97
CHINAVITA;Alianza Social Independiente;416;2050;20.29
CHINAVITA;Cambio Radical;772;2050;37.66
CHINAVITA;Partido Conservador Colombiano;363;2050;17.71
CHINAVITA;Partido de la U;499;2050;24.34
CHIQUINQUIRA;Alianza Social Independiente;1330;23538;5.65
CHIQUINQUIRA;Alianza Verde;4241;23538;18.02
CHIQUINQUIRA;Cambio Radical;3115;23538;13.23
CHIQUINQUIRA;Centro Democrático;1934;23538;8.22
CHIQUINQUIRA;MAIS;1154;23538;4.9
CHIQUINQUIRA;Movimiento MIRA;472;23538;2.01
CHIQUINQUIRA;Opción Ciudadana;1583;23538;6.73
CHIQUINQUIRA;Partido Conservador Colombiano;4216;23538;17.91
CHIQUINQUIRA;Partido Liberal Colombiano;1596;23538;6.78
CHIQUINQUIRA;Partido de la U;3050;23538;12.96
CHIQUINQUIRA;Polo Democrático Alternativo;386;23538;1.64
CHIQUINQUIRA;Revocado (A);461;23538;1.96
CHIQUIZA;Alianza Verde;692;3471;19.94
CHIQUIZA;Cambio Radical;757;3471;21.81
CHIQUIZA;Partido Conservador Colombiano;543;3471;15.64
CHIQUIZA;Partido Liberal Colombiano;795;3471;22.9
CHIQUIZA;Partido de la U;684;3471;19.71
CHISCAS;Alianza Verde;199;2059;9.66
CHISCAS;Cambio Radical;716;2059;34.77
CHISCAS;Centro Democrático;516;2059;25.06
CHISCAS;Partido Liberal Colombiano;628;2059;30.5
CHITA;Alianza Social Independiente;270;3645;7.41
CHITA;Alianza Verde;265;3645;7.27
CHITA;Cambio Radical;604;3645;16.57
CHITA;Centro Democrático;991;3645;27.19
CHITA;Opción Ciudadana;195;3645;5.35
CHITA;Partido Conservador Colombiano;664;3645;18.22
CHITA;Partido Liberal Colombiano;228;3645;6.26
CHITA;Partido de la U;414;3645;11.36
CHITA;Revocado (A);14;3645;0.38
CHITARAQUE;Alianza Verde;293;3520;8.32
CHITARAQUE;Cambio Radical;564;3520;16.02
CHITARAQUE;Centro Democrático;1003;3520;28.49
CHITARAQUE;Opción Ciudadana;287;3520;8.15
CHITARAQUE;Partido Liberal Colombiano;715;3520;20.31
CHITARAQUE;Partido de la U;644;3520;18.3
CHITARAQUE;Revocado (A);14;3520;0.4
CHIVATA;Alianza Social Independiente;301;1865;16.14
CHIVATA;Alianza Verde;532;1865;28.53
CHIVATA;Cambio Radical;396;1865;21.23
CHIVATA;Partido Conservador Colombiano;619;1865;33.19
CHIVATA;Revocado (A);17;1865;0.91
CHIVOR;Alianza Verde;334;1083;30.84
CHIVOR;Centro Democrático;420;1083;38.78
CHIVOR;Partido Conservador Colombiano;271;1083;25.02
CHIVOR;Partido de la U;58;1083;5.36
CIENEGA;Alianza Verde;242;2752;8.79
CIENEGA;Cambio Radical;439;2752;15.95
CIENEGA;Centro Democrático;324;2752;11.77
CIENEGA;Partido Conservador Colombiano;662;2752;24.06
CIENEGA;Partido Liberal Colombiano;203;2752;7.38
CIENEGA;Partido de la U;882;2752;32.05
COMBITA;Alianza Social Independiente;230;6221;3.7
COMBITA;Alianza Verde;1257;6221;20.21
COMBITA;Cambio Radical;1116;6221;17.94
COMBITA;Centro Democrático;430;6221;6.91
COMBITA;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA;726;6221;11.67
COMBITA;Movimiento Autoridades Indigenas De Colombia;22;6221;0.35
COMBITA;Opción Ciudadana;372;6221;5.98
COMBITA;Partido Conservador Colombiano;413;6221;6.64
COMBITA;Partido Liberal Colombiano;824;6221;13.25
COMBITA;Partido de la U;825;6221;13.26
COMBITA;Revocado (A);6;6221;0.1
COPER;Alianza Verde;139;2132;6.52
COPER;Cambio Radical;544;2132;25.52
COPER;Partido Conservador Colombiano;400;2132;18.76
COPER;Partido Liberal Colombiano;491;2132;23.03
COPER;Partido de la U;558;2132;26.17
CORRALES;Alianza Verde;406;1730;23.47
CORRALES;Opción Ciudadana;79;1730;4.57
CORRALES;Partido Conservador Colombiano;711;1730;41.1
CORRALES;Partido Liberal Colombiano;49;1730;2.83
CORRALES;Partido de la U;485;1730;28.03
COVARACHIA;Alianza Social Independiente;549;2059;26.66
COVARACHIA;Alianza Verde;294;2059;14.28
COVARACHIA;Cambio Radical;266;2059;12.92
COVARACHIA;Centro Democrático;212;2059;10.3
COVARACHIA;Opción Ciudadana;97;2059;4.71
COVARACHIA;Partido Conservador Colombiano;168;2059;8.16
COVARACHIA;Partido Liberal Colombiano;113;2059;5.49
COVARACHIA;Partido de la U;26;2059;1.26
COVARACHIA;Polo Democrático Alternativo;334;2059;16.22
CUBARA;Alianza Social Independiente;561;2664;21.06
CUBARA;Alianza Verde;412;2664;15.47
CUBARA;MAIS;162;2664;6.08
CUBARA;Partido Conservador Colombiano;794;2664;29.8
CUBARA;Partido Liberal Colombiano;735;2664;27.59
CUCAITA;Alianza Social Independiente;189;2529;7.47
CUCAITA;Alianza Verde;441;2529;17.44
CUCAITA;Cambio Radical;323;2529;12.77
CUCAITA;Centro Democrático;182;2529;7.2
CUCAITA;Opción Ciudadana;239;2529;9.45
CUCAITA;Partido Conservador Colombiano;578;2529;22.85
CUCAITA;Partido de la U;389;2529;15.38
CUCAITA;Polo Democrático Alternativo;188;2529;7.43
CUITIVA;Alianza Verde;209;1356;15.41
CUITIVA;Cambio Radical;205;1356;15.12
CUITIVA;Centro Democrático;104;1356;7.67
CUITIVA;Opción Ciudadana;117;1356;8.63
CUITIVA;Partido Conservador Colombiano;164;1356;12.09
CUITIVA;Partido Liberal Colombiano;221;1356;16.3
CUITIVA;Partido de la U;336;1356;24.78
DUITAMA;Alianza Social Independiente;4291;48506;8.85
DUITAMA;Alianza Verde;4815;48506;9.93
DUITAMA;Cambio Radical;7027;48506;14.49
DUITAMA;Centro Democrático;4874;48506;10.05
DUITAMA;Movimiento MIRA;2104;48506;4.34
DUITAMA;Opción Ciudadana;3704;48506;7.64
DUITAMA;Partido Conservador Colombiano;7690;48506;15.85
DUITAMA;Partido Liberal Colombiano;5635;48506;11.62
DUITAMA;Partido de la U;5712;48506;11.78
DUITAMA;Polo Democrático Alternativo;2336;48506;4.82
DUITAMA;Unión Patriótica;318;48506;0.66
EL COCUY;Centro Democrático;275;2259;12.17
EL COCUY;Partido Conservador Colombiano;979;2259;43.34
EL COCUY;Partido Liberal Colombiano;1005;2259;44.49
EL ESPINO;Alianza Social Independiente;356;1552;22.94
EL ESPINO;Cambio Radical;318;1552;20.49
EL ESPINO;Centro Democrático;340;1552;21.91
EL ESPINO;Partido Conservador Colombiano;256;1552;16.49
EL ESPINO;Partido de la U;282;1552;18.17
FIRAVITOBA;Alianza Verde;514;3413;15.06
FIRAVITOBA;Cambio Radical;573;3413;16.79
FIRAVITOBA;Centro Democrático;469;3413;13.74
FIRAVITOBA;Partido Conservador Colombiano;697;3413;20.42
FIRAVITOBA;Partido Liberal Colombiano;300;3413;8.79
FIRAVITOBA;Partido de la U;860;3413;25.2
FLORESTA;Alianza Social Independiente;230;2286;10.06
FLORESTA;Alianza Verde;208;2286;9.1
FLORESTA;Cambio Radical;265;2286;11.59
FLORESTA;Centro Democrático;57;2286;2.49
FLORESTA;Opción Ciudadana;103;2286;4.51
FLORESTA;Partido Conservador Colombiano;610;2286;26.68
FLORESTA;Partido Liberal Colombiano;152;2286;6.65
FLORESTA;Partido de la U;661;2286;28.92
GACHANTIVA;Alianza Social Independiente;192;2253;8.52
GACHANTIVA;Alianza Verde;173;2253;7.68
GACHANTIVA;Cambio Radical;181;2253;8.03
GACHANTIVA;Centro Democrático;162;2253;7.19
GACHANTIVA;MAIS;169;2253;7.5
GACHANTIVA;Opción Ciudadana;192;2253;8.52
GACHANTIVA;Partido Conservador Colombiano;138;2253;6.13
GACHANTIVA;Partido Liberal Colombiano;444;2253;19.71
GACHANTIVA;Partido de la U;500;2253;22.19
GACHANTIVA;Polo Democrático Alternativo;102;2253;4.53
GAMEZA;Alianza Verde;655;2875;22.78
GAMEZA;Cambio Radical;804;2875;27.97
GAMEZA;Centro Democrático;265;2875;9.22
GAMEZA;Partido Conservador Colombiano;577;2875;20.07
GAMEZA;Partido Liberal Colombiano;574;2875;19.97
GARAGOA;Alianza Verde;638;6852;9.31
GARAGOA;Cambio Radical;978;6852;14.27
GARAGOA;Centro Democrático;203;6852;2.96
GARAGOA;Opción Ciudadana;903;6852;13.18
GARAGOA;Partido Conservador Colombiano;1025;6852;14.96
GARAGOA;Partido Liberal Colombiano;795;6852;11.6
GARAGOA;Partido de la U;2310;6852;33.71
