MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;DUQUE MARQUEZ IVAN;20130001;718
ALMEIDA;PETRO URREGO GUSTAVO FRANCISCO;20180003;184
AQUITANIA;DUQUE MARQUEZ IVAN;20130001;6296
AQUITANIA;PETRO URREGO GUSTAVO FRANCISCO;20180003;1212
ARCABUCO;DUQUE MARQUEZ IVAN;20130001;1530
ARCABUCO;PETRO URREGO GUSTAVO FRANCISCO;20180003;1101
BELEN;DUQUE MARQUEZ IVAN;20130001;2007
BELEN;PETRO URREGO GUSTAVO FRANCISCO;20180003;1670
BERBEO;DUQUE MARQUEZ IVAN;20130001;394
BERBEO;PETRO URREGO GUSTAVO FRANCISCO;20180003;365
BETEITIVA;DUQUE MARQUEZ IVAN;20130001;479
BETEITIVA;PETRO URREGO GUSTAVO FRANCISCO;20180003;435
BOAVITA;DUQUE MARQUEZ IVAN;20130001;1984
BOAVITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;501
BOYACA;DUQUE MARQUEZ IVAN;20130001;1319
BOYACA;PETRO URREGO GUSTAVO FRANCISCO;20180003;782
BRICENO;DUQUE MARQUEZ IVAN;20130001;1037
BRICENO;PETRO URREGO GUSTAVO FRANCISCO;20180003;188
BUENAVISTA;DUQUE MARQUEZ IVAN;20130001;2081
BUENAVISTA;PETRO URREGO GUSTAVO FRANCISCO;20180003;568
BUSBANZA;DUQUE MARQUEZ IVAN;20130001;309
BUSBANZA;PETRO URREGO GUSTAVO FRANCISCO;20180003;196
CALDAS;DUQUE MARQUEZ IVAN;20130001;1136
CALDAS;PETRO URREGO GUSTAVO FRANCISCO;20180003;513
CAMPOHERMOSO;DUQUE MARQUEZ IVAN;20130001;980
CAMPOHERMOSO;PETRO URREGO GUSTAVO FRANCISCO;20180003;232
CERINZA;DUQUE MARQUEZ IVAN;20130001;1113
CERINZA;PETRO URREGO GUSTAVO FRANCISCO;20180003;993
CHINAVITA;DUQUE MARQUEZ IVAN;20130001;1227
CHINAVITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;320
CHIQUINQUIRA;DUQUE MARQUEZ IVAN;20130001;13505
CHIQUINQUIRA;PETRO URREGO GUSTAVO FRANCISCO;20180003;9321
CHIQUIZA;PETRO URREGO GUSTAVO FRANCISCO;20180003;1454
CHIQUIZA;DUQUE MARQUEZ IVAN;20130001;651
CHISCAS;DUQUE MARQUEZ IVAN;20130001;1535
CHISCAS;PETRO URREGO GUSTAVO FRANCISCO;20180003;222
CHITA;DUQUE MARQUEZ IVAN;20130001;2678
CHITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;448
CHITARAQUE;DUQUE MARQUEZ IVAN;20130001;2368
CHITARAQUE;PETRO URREGO GUSTAVO FRANCISCO;20180003;398
CHIVATA;DUQUE MARQUEZ IVAN;20130001;770
CHIVATA;PETRO URREGO GUSTAVO FRANCISCO;20180003;758
CHIVOR;DUQUE MARQUEZ IVAN;20130001;893
CHIVOR;PETRO URREGO GUSTAVO FRANCISCO;20180003;98
CIENEGA;DUQUE MARQUEZ IVAN;20130001;1754
CIENEGA;PETRO URREGO GUSTAVO FRANCISCO;20180003;442
COMBITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;2604
COMBITA;DUQUE MARQUEZ IVAN;20130001;2124
COPER;DUQUE MARQUEZ IVAN;20130001;1410
COPER;PETRO URREGO GUSTAVO FRANCISCO;20180003;239
CORRALES;PETRO URREGO GUSTAVO FRANCISCO;20180003;674
CORRALES;DUQUE MARQUEZ IVAN;20130001;618
COVARACHIA;DUQUE MARQUEZ IVAN;20130001;1392
COVARACHIA;PETRO URREGO GUSTAVO FRANCISCO;20180003;138
CUBARA;PETRO URREGO GUSTAVO FRANCISCO;20180003;1396
CUBARA;DUQUE MARQUEZ IVAN;20130001;924
CUCAITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;1131
CUCAITA;DUQUE MARQUEZ IVAN;20130001;804
CUITIVA;DUQUE MARQUEZ IVAN;20130001;657
CUITIVA;PETRO URREGO GUSTAVO FRANCISCO;20180003;342
DUITAMA;PETRO URREGO GUSTAVO FRANCISCO;20180003;30581
DUITAMA;DUQUE MARQUEZ IVAN;20130001;23538
EL COCUY;DUQUE MARQUEZ IVAN;20130001;1770
EL COCUY;PETRO URREGO GUSTAVO FRANCISCO;20180003;230
EL ESPINO;DUQUE MARQUEZ IVAN;20130001;1195
EL ESPINO;PETRO URREGO GUSTAVO FRANCISCO;20180003;131
FIRAVITOBA;PETRO URREGO GUSTAVO FRANCISCO;20180003;1454
FIRAVITOBA;DUQUE MARQUEZ IVAN;20130001;1406
FLORESTA;DUQUE MARQUEZ IVAN;20130001;1263
FLORESTA;PETRO URREGO GUSTAVO FRANCISCO;20180003;598
GACHANTIVA;DUQUE MARQUEZ IVAN;20130001;1212
GACHANTIVA;PETRO URREGO GUSTAVO FRANCISCO;20180003;547
GAMEZA;DUQUE MARQUEZ IVAN;20130001;1640
GAMEZA;PETRO URREGO GUSTAVO FRANCISCO;20180003;546
GARAGOA;DUQUE MARQUEZ IVAN;20130001;3923
GARAGOA;PETRO URREGO GUSTAVO FRANCISCO;20180003;2693
GUACAMAYAS;DUQUE MARQUEZ IVAN;20130001;834
GUACAMAYAS;PETRO URREGO GUSTAVO FRANCISCO;20180003;108
GUATEQUE;DUQUE MARQUEZ IVAN;20130001;2835
GUATEQUE;PETRO URREGO GUSTAVO FRANCISCO;20180003;1818
GUAYATA;DUQUE MARQUEZ IVAN;20130001;1786
GUAYATA;PETRO URREGO GUSTAVO FRANCISCO;20180003;324
GUICAN DE LA SIERRA;DUQUE MARQUEZ IVAN;20130001;1176
GUICAN DE LA SIERRA;PETRO URREGO GUSTAVO FRANCISCO;20180003;531
IZA;DUQUE MARQUEZ IVAN;20130001;808
IZA;PETRO URREGO GUSTAVO FRANCISCO;20180003;427
JENESANO;DUQUE MARQUEZ IVAN;20130001;1925
JENESANO;PETRO URREGO GUSTAVO FRANCISCO;20180003;1076
JERICO;DUQUE MARQUEZ IVAN;20130001;1511
JERICO;PETRO URREGO GUSTAVO FRANCISCO;20180003;223
LA CAPILLA;DUQUE MARQUEZ IVAN;20130001;1042
LA CAPILLA;PETRO URREGO GUSTAVO FRANCISCO;20180003;417
LA UVITA;DUQUE MARQUEZ IVAN;20130001;1230
LA UVITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;143
LA VICTORIA;DUQUE MARQUEZ IVAN;20130001;724
LA VICTORIA;PETRO URREGO GUSTAVO FRANCISCO;20180003;116
LABRANZAGRANDE;DUQUE MARQUEZ IVAN;20130001;1391
LABRANZAGRANDE;PETRO URREGO GUSTAVO FRANCISCO;20180003;298
MACANAL;DUQUE MARQUEZ IVAN;20130001;1501
MACANAL;PETRO URREGO GUSTAVO FRANCISCO;20180003;393
MARIPI;DUQUE MARQUEZ IVAN;20130001;2293
MARIPI;PETRO URREGO GUSTAVO FRANCISCO;20180003;480
MIRAFLORES;PETRO URREGO GUSTAVO FRANCISCO;20180003;2270
MIRAFLORES;DUQUE MARQUEZ IVAN;20130001;2065
MONGUA;DUQUE MARQUEZ IVAN;20130001;2257
MONGUA;PETRO URREGO GUSTAVO FRANCISCO;20180003;375
MONGUI;DUQUE MARQUEZ IVAN;20130001;1433
MONGUI;PETRO URREGO GUSTAVO FRANCISCO;20180003;776
MONIQUIRA;DUQUE MARQUEZ IVAN;20130001;5889
MONIQUIRA;PETRO URREGO GUSTAVO FRANCISCO;20180003;3730
MOTAVITA;PETRO URREGO GUSTAVO FRANCISCO;20180003;1961
MOTAVITA;DUQUE MARQUEZ IVAN;20130001;1075
MUZO;DUQUE MARQUEZ IVAN;20130001;3315
MUZO;PETRO URREGO GUSTAVO FRANCISCO;20180003;762
NOBSA;PETRO URREGO GUSTAVO FRANCISCO;20180003;5830
NOBSA;DUQUE MARQUEZ IVAN;20130001;2352
NUEVO COLON;DUQUE MARQUEZ IVAN;20130001;1350
