MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Alianza Verde;243;1354;17.95
ALMEIDA;Cambio Radical;310;1354;22.9
ALMEIDA;Centro Democrático;268;1354;19.79
ALMEIDA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;113;1354;8.35
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;291;1354;21.49
ALMEIDA;Partido Conservador Colombiano;45;1354;3.32
ALMEIDA;Partido Liberal Colombiano;84;1354;6.2
AQUITANIA PUEBLOVIEJO;Alianza Verde;1555;8580;18.12
AQUITANIA PUEBLOVIEJO;Cambio Radical;757;8580;8.82
AQUITANIA PUEBLOVIEJO;Centro Democrático;589;8580;6.86
AQUITANIA PUEBLOVIEJO;MAIS;502;8580;5.85
AQUITANIA PUEBLOVIEJO;Movimiento MIRA;47;8580;0.55
AQUITANIA PUEBLOVIEJO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1136;8580;13.24
AQUITANIA PUEBLOVIEJO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;958;8580;11.17
AQUITANIA PUEBLOVIEJO;Partido Conservador Colombiano;1610;8580;18.76
AQUITANIA PUEBLOVIEJO;SOMOS EL CAMBIO;1426;8580;16.62
ARCABUCO;Alianza Verde;532;3665;14.52
ARCABUCO;Cambio Radical;274;3665;7.48
ARCABUCO;Centro Democrático;711;3665;19.4
ARCABUCO;MAIS;235;3665;6.41
ARCABUCO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;381;3665;10.4
ARCABUCO;PARTIDO COLOMBIA RENACIENTE;209;3665;5.7
ARCABUCO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;384;3665;10.48
ARCABUCO;Partido Conservador Colombiano;586;3665;15.99
ARCABUCO;Partido Liberal Colombiano;353;3665;9.63
BELEN;Alianza Verde;498;4753;10.48
BELEN;Centro Democrático;205;4753;4.31
BELEN;MAIS;456;4753;9.59
BELEN;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;1666;4753;35.05
BELEN;Partido Conservador Colombiano;804;4753;16.92
BELEN;Partido Liberal Colombiano;1124;4753;23.65
BERBEO;Alianza Verde;323;1118;28.89
BERBEO;Cambio Radical;105;1118;9.39
BERBEO;Centro Democrático;175;1118;15.65
BERBEO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;260;1118;23.26
BERBEO;Partido Liberal Colombiano;255;1118;22.81
BETEITIVA;Cambio Radical;224;1532;14.62
BETEITIVA;Centro Democrático;340;1532;22.19
BETEITIVA;MAIS;254;1532;16.58
BETEITIVA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;211;1532;13.77
BETEITIVA;Partido Conservador Colombiano;287;1532;18.73
BETEITIVA;Partido Liberal Colombiano;216;1532;14.1
BOAVITA;Alianza Verde;1240;3181;38.98
BOAVITA;Cambio Radical;476;3181;14.96
BOAVITA;Centro Democrático;281;3181;8.83
BOAVITA;MAIS;394;3181;12.39
BOAVITA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;190;3181;5.97
BOAVITA;Partido Conservador Colombiano;600;3181;18.86
BOYACA;Alianza Verde;720;3267;22.04
BOYACA;Centro Democrático;818;3267;25.04
BOYACA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;701;3267;21.46
BOYACA;Partido Liberal Colombiano;1028;3267;31.47
BRICENO;Alianza Verde;558;1658;33.66
BRICENO;Cambio Radical;217;1658;13.09
BRICENO;Centro Democrático;231;1658;13.93
BRICENO;MAIS;107;1658;6.45
BRICENO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;158;1658;9.53
BRICENO;Partido Conservador Colombiano;387;1658;23.34
BUENAVISTA;Alianza Verde;495;3458;14.31
BUENAVISTA;Cambio Radical;675;3458;19.52
BUENAVISTA;Centro Democrático;709;3458;20.5
BUENAVISTA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;734;3458;21.23
BUENAVISTA;Partido Conservador Colombiano;682;3458;19.72
BUENAVISTA;Partido Liberal Colombiano;163;3458;4.71
BUSBANZA;Alianza Verde;287;765;37.52
BUSBANZA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;177;765;23.14
BUSBANZA;Partido Conservador Colombiano;301;765;39.35
CALDAS;Alianza Verde;511;2167;23.58
