MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
CAMPOHERMOSO;PACTO HISTÓRICO COLOMBIA PUEDE;46;1798;2.56
CAMPOHERMOSO;RESULTADOS PARA BOYACA;778;1798;43.27
CERINZA;BOYACÁ GRANDE;1177;2695;43.67
CERINZA;BOYACÁ SOMOS TODOS;75;2695;2.78
CERINZA;Creemos;2;2695;0.07
CERINZA;NO MAS;19;2695;0.71
CERINZA;NUEVA FUERZA DEMOCRÁTICA;28;2695;1.04
CERINZA;PACTO HISTÓRICO COLOMBIA PUEDE;296;2695;10.98
CERINZA;RESULTADOS PARA BOYACA;1098;2695;40.74
CHINAVITA;BOYACÁ GRANDE;1112;2085;53.33
CHINAVITA;BOYACÁ SOMOS TODOS;57;2085;2.73
CHINAVITA;Creemos;1;2085;0.05
CHINAVITA;NO MAS;11;2085;0.53
CHINAVITA;NUEVA FUERZA DEMOCRÁTICA;9;2085;0.43
CHINAVITA;PACTO HISTÓRICO COLOMBIA PUEDE;47;2085;2.25
CHINAVITA;RESULTADOS PARA BOYACA;848;2085;40.67
CHIQUINQUIRA;BOYACÁ GRANDE;11318;24321;46.54
CHIQUINQUIRA;BOYACÁ SOMOS TODOS;517;24321;2.13
CHIQUINQUIRA;Creemos;106;24321;0.44
CHIQUINQUIRA;NO MAS;370;24321;1.52
CHIQUINQUIRA;NUEVA FUERZA DEMOCRÁTICA;150;24321;0.62
CHIQUINQUIRA;PACTO HISTÓRICO COLOMBIA PUEDE;1989;24321;8.18
CHIQUINQUIRA;RESULTADOS PARA BOYACA;9871;24321;40.59
CHIQUIZA;BOYACÁ GRANDE;2014;3829;52.6
CHIQUIZA;BOYACÁ SOMOS TODOS;76;3829;1.98
CHIQUIZA;Creemos;1;3829;0.03
CHIQUIZA;NO MAS;14;3829;0.37
CHIQUIZA;NUEVA FUERZA DEMOCRÁTICA;3;3829;0.08
CHIQUIZA;PACTO HISTÓRICO COLOMBIA PUEDE;139;3829;3.63
CHIQUIZA;RESULTADOS PARA BOYACA;1582;3829;41.32
CHISCAS;BOYACÁ GRANDE;1254;2156;58.16
CHISCAS;BOYACÁ SOMOS TODOS;9;2156;0.42
CHISCAS;NO MAS;3;2156;0.14
CHISCAS;NUEVA FUERZA DEMOCRÁTICA;4;2156;0.19
CHISCAS;PACTO HISTÓRICO COLOMBIA PUEDE;52;2156;2.41
CHISCAS;RESULTADOS PARA BOYACA;834;2156;38.68
CHITA;BOYACÁ GRANDE;2950;3980;74.12
CHITA;BOYACÁ SOMOS TODOS;28;3980;0.7
CHITA;Creemos;2;3980;0.05
CHITA;NO MAS;5;3980;0.13
CHITA;NUEVA FUERZA DEMOCRÁTICA;15;3980;0.38
CHITA;PACTO HISTÓRICO COLOMBIA PUEDE;132;3980;3.32
CHITA;RESULTADOS PARA BOYACA;848;3980;21.31
CHITARAQUE;BOYACÁ GRANDE;1752;3742;46.82
CHITARAQUE;BOYACÁ SOMOS TODOS;20;3742;0.53
CHITARAQUE;Creemos;2;3742;0.05
CHITARAQUE;NO MAS;7;3742;0.19
CHITARAQUE;NUEVA FUERZA DEMOCRÁTICA;19;3742;0.51
CHITARAQUE;PACTO HISTÓRICO COLOMBIA PUEDE;89;3742;2.38
CHITARAQUE;RESULTADOS PARA BOYACA;1853;3742;49.52
CHIVATA;BOYACÁ GRANDE;1389;2523;55.05
CHIVATA;BOYACÁ SOMOS TODOS;203;2523;8.05
CHIVATA;Creemos;2;2523;0.08
CHIVATA;NO MAS;68;2523;2.7
CHIVATA;NUEVA FUERZA DEMOCRÁTICA;12;2523;0.48
CHIVATA;PACTO HISTÓRICO COLOMBIA PUEDE;186;2523;7.37
CHIVATA;RESULTADOS PARA BOYACA;663;2523;26.28
CHIVOR;BOYACÁ GRANDE;889;1358;65.46
CHIVOR;BOYACÁ SOMOS TODOS;4;1358;0.29
CHIVOR;Creemos;2;1358;0.15
CHIVOR;NO MAS;2;1358;0.15
