MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Centro Democrático;69;147;46.94
ALMEIDA;nan;78;147;53.06
AQUITANIA;Centro Democrático;1809;2530;71.5
AQUITANIA;nan;721;2530;28.5
ARCABUCO;Centro Democrático;552;841;65.64
ARCABUCO;nan;289;841;34.36
BELEN;Centro Democrático;1731;1958;88.41
BELEN;nan;227;1958;11.59
BERBEO;Centro Democrático;65;124;52.42
BERBEO;nan;59;124;47.58
BETEITIVA;Centro Democrático;172;291;59.11
BETEITIVA;nan;119;291;40.89
BOAVITA;Centro Democrático;92;265;34.72
BOAVITA;nan;173;265;65.28
BOYACA;Centro Democrático;1012;1422;71.17
BOYACA;nan;410;1422;28.83
BRICENO;Centro Democrático;42;152;27.63
BRICENO;nan;110;152;72.37
BUENAVISTA;Centro Democrático;151;628;24.04
BUENAVISTA;nan;477;628;75.96
BUSBANZA;Centro Democrático;102;129;79.07
BUSBANZA;nan;27;129;20.93
CALDAS;Centro Democrático;228;540;42.22
CALDAS;nan;312;540;57.78
CAMPOHERMOSO;Centro Democrático;400;592;67.57
CAMPOHERMOSO;nan;192;592;32.43
CERINZA;Centro Democrático;220;304;72.37
CERINZA;nan;84;304;27.63
CHINAVITA;Centro Democrático;56;132;42.42
CHINAVITA;nan;76;132;57.58
CHIQUINQUIRA;Centro Democrático;4180;5416;77.18
CHIQUINQUIRA;nan;1236;5416;22.82
CHIQUIZA;Centro Democrático;966;1359;71.08
CHIQUIZA;nan;393;1359;28.92
CHISCAS;Centro Democrático;373;524;71.18
CHISCAS;nan;151;524;28.82
CHITA;Centro Democrático;755;1393;54.2
CHITA;nan;638;1393;45.8
CHITARAQUE;Centro Democrático;595;1217;48.89
CHITARAQUE;nan;622;1217;51.11
CHIVATA;Centro Democrático;429;534;80.34
CHIVATA;nan;105;534;19.66
CHIVOR;Centro Democrático;90;207;43.48
CHIVOR;nan;117;207;56.52
CIENEGA;Centro Democrático;1023;1242;82.37
CIENEGA;nan;219;1242;17.63
COMBITA;Centro Democrático;1440;1874;76.84
COMBITA;nan;434;1874;23.16
COPER;Centro Democrático;129;482;26.76
COPER;nan;353;482;73.24
CORRALES;Centro Democrático;532;600;88.67
CORRALES;nan;68;600;11.33
COVARACHIA;Centro Democrático;140;454;30.84
COVARACHIA;nan;314;454;69.16
CUBARA;Centro Democrático;581;1059;54.86
CUBARA;nan;478;1059;45.14
CUCAITA;Centro Democrático;1674;1818;92.08
CUCAITA;nan;144;1818;7.92
CUITIVA;Centro Democrático;234;363;64.46
CUITIVA;nan;129;363;35.54
DUITAMA;Centro Democrático;17473;18718;93.35
DUITAMA;nan;1245;18718;6.65
EL COCUY;Centro Democrático;346;572;60.49
EL COCUY;nan;226;572;39.51
EL ESPINO;Centro Democrático;377;535;70.47
EL ESPINO;nan;158;535;29.53
FIRAVITOBA;Centro Democrático;542;767;70.66
FIRAVITOBA;nan;225;767;29.34
FLORESTA;Centro Democrático;189;280;67.5
FLORESTA;nan;91;280;32.5
GACHANTIVA;Centro Democrático;645;897;71.91
GACHANTIVA;nan;252;897;28.09
GAMEZA;Centro Democrático;480;766;62.66
GAMEZA;nan;286;766;37.34
GARAGOA;Centro Democrático;786;1306;60.18
GARAGOA;nan;520;1306;39.82
GUACAMAYAS;Centro Democrático;121;192;63.02
GUACAMAYAS;nan;71;192;36.98
GUATEQUE;Centro Democrático;1070;1534;69.75
GUATEQUE;nan;464;1534;30.25
GUAYATA;Centro Democrático;386;765;50.46
GUAYATA;nan;379;765;49.54
GUICAN DE LA SIERRA;Centro Democrático;471;628;75.0
GUICAN DE LA SIERRA;nan;157;628;25.0
IZA;Centro Democrático;438;559;78.35
IZA;nan;121;559;21.65
JENESANO;Centro Democrático;882;1171;75.32
JENESANO;nan;289;1171;24.68
JERICO;Centro Democrático;303;893;33.93
JERICO;nan;590;893;66.07
LA CAPILLA;Centro Democrático;419;577;72.62
LA CAPILLA;nan;158;577;27.38
LA UVITA;Centro Democrático;533;634;84.07
LA UVITA;nan;101;634;15.93
LA VICTORIA;Centro Democrático;434;764;56.81
LA VICTORIA;nan;330;764;43.19
LABRANZAGRANDE;Centro Democrático;77;462;16.67
LABRANZAGRANDE;nan;385;462;83.33
MACANAL;Centro Democrático;186;602;30.9
MACANAL;nan;416;602;69.1
