MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Orlando Castaneda Montenegro;Partido de la U;829
ALMEIDA;Carlos Alberto Acevedo Velasquez;Centro Democrático;435
ALMEIDA;Angel Custodio Sanchez Roa;Partido ASI;31
AQUITANIA;Carlos Ernesto Torres Aguirre;Alianza Verde;3941
AQUITANIA;Felipe Absalon Cardozo Montana;Partido Conservador Colombiano;2571
AQUITANIA;Alexander Riveros Pedraza;Partido Conservador Colombiano;2000
AQUITANIA;Victor Manuel Perez Torrez;Partido Liberal Colombiano;156
ARCABUCO;Jairo Ruiz Salazar;Partido de la U;1954
ARCABUCO;Yamith Rodrigo Rodriguez Lopez;Partido Conservador Colombiano;880
ARCABUCO;Guillermo Hoffmann Pinilla;Partido ASI;190
BELEN;Jose Wilmar Leal Abril;Partido Liberal Colombiano;2384
BELEN;Mario Enrique Guzman Diaz;Partido Conservador Colombiano;2258
BERBEO;Ana Hilda Pinzon De Martinez;Alianza Verde;762
BERBEO;Nestor Melo Gaona;Partido de la U;372
BETEITIVA;Jorge Enrique Albarracin Vargas;Partido de la U;630
BETEITIVA;Edgar Gerardo Fernandez Neita;Partido Liberal Colombiano;520
BETEITIVA;Luis Orlando Estevez Estevez;Partido Liberal Colombiano;165
BETEITIVA;Jose Bernardo Rojas Rojas;Partido Conservador Colombiano;89
BETEITIVA;Aureliano Joya Leon;Partido ASI;24
BOAVITA;Jairo Correa Acevedo;Partido de la U;1939
BOAVITA;Jairo Cordoba Suarez;Partido Conservador Colombiano;1216
BOAVITA;Gloria Lucia Fonseca Corso;Partido Liberal Colombiano;63
BOYACA;Ezequiel Guerra Parada;Partido de la U;1673
BOYACA;Jaime Hernando Martinez Cifuentes;Partido Liberal Colombiano;1107
BOYACA;Francisco Sanabria Gaona;Alianza Verde;130
BRICENO;Edgar Parra;Partido Conservador Colombiano;828
BRICENO;Pedro Isaias Quesada Delgado;Partido Liberal Colombiano;528
BRICENO;Elmer Arfait Wilches Tijo;Partido de la U;65
BUENAVISTA;Miguel Antonio Castillo Barragan;Partido Liberal Colombiano;1136
BUENAVISTA;Carlos Augusto Salinas Medina;Movimiento Ciudadano;847
BUENAVISTA;Uriel Hernando Forero Matallana;Partido de la U;640
BUENAVISTA;Hernando Peraza Salinas;Partido ASI;171
BUENAVISTA;William Rivera Villamil;Alianza Verde;111
BUSBANZA;Omar Vargas Albarracin;Partido Conservador Colombiano;320
BUSBANZA;Herminia Del Carmen Toledo Granados;Partido ASI;250
CALDAS;Gonzalo Alfredo Cortes Canon;Partido Liberal Colombiano;1425
CALDAS;Gilberto Sanchez Burgos;Partido Conservador Colombiano;619
CAMPOHERMOSO;Plinio Rolando Forero Duenas;Partido Conservador Colombiano;817
CAMPOHERMOSO;Hilda Silveria Romero Barrera;Partido de la U;801
CAMPOHERMOSO;Armando Buitrago Acevedo;Partido Liberal Colombiano;105
CERINZA;Juan Alcibiades Cely Amaya;Partido Conservador Colombiano;882
CERINZA;Luis Carlos Chia Hernandez;Partido de la U;823
CERINZA;Pedro Javier Cepeda Morales;Alianza Verde;547
CHINAVITA;Florentino Torres Sanabria;Partido ASI;855
CHINAVITA;Francisco Javier Roa Millan;Partido Liberal Colombiano;794
CHINAVITA;Carlos Alberto Jimenez Ruiz;Partido Conservador Colombiano;535
CHIQUINQUIRA;Nelson Orlando Rincon Sierra;Partido Liberal Colombiano;13444
CHIQUINQUIRA;Cesar Augusto Carrillo Ortegon;Partido de la U;4944
CHIQUINQUIRA;Luz Deyanira Gonzalez Castillo;Alianza Verde;1476
CHIQUINQUIRA;Pablo Aurelio Suarez Garcia;Partido Conservador Colombiano;1186
CHIQUINQUIRA;Edgar Orlando Pineda Martinez;Partido Conservador Colombiano;572
CHIQUINQUIRA;Hector Alonzo Cortes Sanchez;Partido de la U;323
CHIQUIZA;Carlos Eduardo Borras Buitrago;Partido Liberal Colombiano;2208
CHIQUIZA;Milton Julio Reyes Reyes;Alianza Verde;1326
CHISCAS;Gerson Aymer Ruiz Carreno;Partido Liberal Colombiano;804
CHISCAS;Nacianzeno Herrera Baron;Alianza Verde;628
CHISCAS;Javier Orlando Suescun Cardenas;Centro Democrático;377
CHISCAS;Gloria Isabel Duarte Mendez;Partido Liberal Colombiano;222
CHISCAS;Jose Yobany Mendez Caicedo;Partido de la U;188
CHITA;Dora Belkis Gomez Cetina;Partido Conservador Colombiano;2241
CHITA;Javier Hernando Chaparro Chaparro;Partido de la U;1422
CHITA;Fernando Portilla Fuentes;Alianza Verde;456
CHITARAQUE;Oscar Fernando Calvo Hurtado;Partido de la U;2377
CHITARAQUE;Nelson Armando Abaunza Calvo;Partido Conservador Colombiano;984
CHITARAQUE;Amilkar Januario Abaunza Mejia;Partido Liberal Colombiano;138
CHIVATA;Ana Isabel Bernal Camargo;Alianza Verde;910
CHIVATA;David Jacinto Montero Cruz;Partido Conservador Colombiano;735
CHIVATA;Ruby Stella Bernal Hernandez;Partido de la U;204
CHIVATA;Nelson Andres Montero Ramirez;Partido Conservador Colombiano;4
CHIVOR;Ana Yolanda Hernandez Daza;Alianza Verde;591
CHIVOR;Jose Ricardo Vargas Parra;Partido Conservador Colombiano;486
CHIVOR;Huimer Danilo Arevalo Salguero;Partido de la U;82
CIENEGA;Ramiro Fonseca Cruz;Partido Conservador Colombiano;1472
CIENEGA;Luis Carlos Cruz Lopez;Partido de la U;1216
COMBITA;Giovanni Diaz Ramos;20110062;2551
COMBITA;Jose Filemon Suarez Morales;Alianza Verde;2508
COMBITA;Cristobal Abril Gutierrez;Partido ASI;422
COMBITA;Orlando Alfonso Piraneque;Partido Liberal Colombiano;242
COPER;Ricardo Valbuena Moreno;Alianza Verde;1320
COPER;Francisco Leon Marcelo;Partido Conservador Colombiano;606
COPER;Numael Barrantes Becerra;Partido de la U;316
CORRALES;German Dario Castaneda Agudelo;Partido Liberal Colombiano;923
CORRALES;Pedro Antonio Lopez Prieto;Partido Conservador Colombiano;763
COVARACHIA;Benito Quintero Pinto;Partido Liberal Colombiano;905
COVARACHIA;Luis Alfonso Tellez;Alianza Verde;832
COVARACHIA;Luis Antonio Salazar Camacho;Partido de la U;105
COVARACHIA;Carlos Francisco Gualdron Gualdron;Partido Conservador Colombiano;64
CUBARA;Jhon Jairo Alonso Rincon;Partido Liberal Colombiano;1185
CUBARA;Zehir Elias Rodriguez Suescun;Partido ASI;699
CUBARA;Isaias Sanchez Alvarez;Partido Conservador Colombiano;532
CUCAITA;Marcos Daniel Borda Parra;Partido de la U;956
