MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Partido de la U;829;1295;64.015444
ALMEIDA;Partido Liberal Colombiano;435;1295;33.590734
ALMEIDA;Alianza Social Independiente;31;1295;2.393822
AQUITANIA;Alianza Verde;3941;8668;45.466082
AQUITANIA;Partido sin identificar;2571;8668;29.660821
AQUITANIA;Partido Liberal Colombiano;2156;8668;24.873096
ARCABUCO;Partido de la U;1954;3024;64.616402
ARCABUCO;Partido Liberal Colombiano;880;3024;29.100529
ARCABUCO;Alianza Social Independiente;190;3024;6.283069
BELEN;Partido Conservador Colombiano;2384;4642;51.357174
BELEN;Partido Liberal Colombiano;2258;4642;48.642826
BERBEO;Alianza Verde;762;1134;67.195767
BERBEO;Partido de la U;372;1134;32.804233
BETEITIVA;Partido de la U;630;1428;44.117647
BETEITIVA;Partido Liberal Colombiano;520;1428;36.414566
BETEITIVA;Partido Conservador Colombiano;165;1428;11.554622
BETEITIVA;Partido sin identificar;89;1428;6.232493
BETEITIVA;Alianza Social Independiente;24;1428;1.680672
BOAVITA;Partido de la U;1939;3218;60.254817
BOAVITA;Partido Liberal Colombiano;1279;3218;39.745183
BOYACA;Partido de la U;1673;2910;57.491409
BOYACA;Partido Conservador Colombiano;1107;2910;38.041237
BOYACA;Alianza Verde;130;2910;4.467354
BRICENO;Partido Liberal Colombiano;1356;1421;95.425757
BRICENO;Partido de la U;65;1421;4.574243
BUENAVISTA;Partido Liberal Colombiano;1983;2905;68.261618
BUENAVISTA;Partido de la U;640;2905;22.030981
BUENAVISTA;Alianza Social Independiente;171;2905;5.886403
BUENAVISTA;Alianza Verde;111;2905;3.820998
BUSBANZA;Partido Liberal Colombiano;320;570;56.140351
BUSBANZA;Alianza Social Independiente;250;570;43.859649
CALDAS;Partido Conservador Colombiano;1425;2044;69.716243
CALDAS;Partido Liberal Colombiano;619;2044;30.283757
CAMPOHERMOSO;Partido Liberal Colombiano;922;1723;53.511317
CAMPOHERMOSO;Partido de la U;801;1723;46.488683
CERINZA;Partido Liberal Colombiano;882;2252;39.165187
CERINZA;Partido de la U;823;2252;36.545293
CERINZA;Alianza Verde;547;2252;24.28952
CHINAVITA;Partido Liberal Colombiano;1329;2184;60.851648
CHINAVITA;Alianza Social Independiente;855;2184;39.148352
CHIQUINQUIRA;Partido Liberal Colombiano;14630;21945;66.666667
CHIQUINQUIRA;Partido de la U;5267;21945;24.000911
CHIQUINQUIRA;Alianza Verde;1476;21945;6.725906
CHIQUINQUIRA;Partido sin identificar;572;21945;2.606516
CHIQUIZA;Partido Conservador Colombiano;2208;3534;62.478778
CHIQUIZA;Alianza Verde;1326;3534;37.521222
CHISCAS;Partido Conservador Colombiano;804;2219;36.232537
CHISCAS;Alianza Verde;628;2219;28.301037
CHISCAS;Alianza Social Independiente;377;2219;16.989635
CHISCAS;Partido Liberal Colombiano;222;2219;10.004507
CHISCAS;Partido de la U;188;2219;8.472285
CHITA;Partido Liberal Colombiano;2241;4119;54.406409
CHITA;Partido de la U;1422;4119;34.522942
CHITA;Alianza Verde;456;4119;11.070648
CHITARAQUE;Partido de la U;2377;3499;67.933695
CHITARAQUE;Partido Liberal Colombiano;1122;3499;32.066305
CHIVATA;Alianza Verde;910;1853;49.109552
CHIVATA;Partido Liberal Colombiano;735;1853;39.665407
CHIVATA;Partido de la U;204;1853;11.009174
CHIVATA;Partido sin identificar;4;1853;0.215866
CHIVOR;Alianza Verde;591;1159;50.992235
CHIVOR;Partido Liberal Colombiano;486;1159;41.932701
CHIVOR;Partido de la U;82;1159;7.075065
CIENEGA;Partido Liberal Colombiano;1472;2688;54.761905
CIENEGA;Partido de la U;1216;2688;45.238095
COMBITA;Partido sin identificar;2551;5723;44.574524
COMBITA;Alianza Verde;2508;5723;43.82317
COMBITA;Alianza Social Independiente;422;5723;7.373755
COMBITA;Partido Liberal Colombiano;242;5723;4.228551
COPER;Alianza Verde;1320;2242;58.876004
COPER;Partido Liberal Colombiano;606;2242;27.029438
COPER;Partido de la U;316;2242;14.094558
CORRALES;Partido Liberal Colombiano;1686;1686;100.0
COVARACHIA;Partido Liberal Colombiano;969;1906;50.839454
COVARACHIA;Alianza Verde;832;1906;43.651626
COVARACHIA;Partido de la U;105;1906;5.508919
CUBARA;Partido Conservador Colombiano;1185;2416;49.048013
CUBARA;Alianza Social Independiente;699;2416;28.932119
CUBARA;Partido Liberal Colombiano;532;2416;22.019868
CUCAITA;Partido de la U;956;2327;41.082939
CUCAITA;Partido sin identificar;826;2327;35.496347
CUCAITA;Partido Liberal Colombiano;351;2327;15.083799
CUCAITA;Alianza Social Independiente;194;2327;8.336914
CUITIVA;Partido de la U;891;1347;66.146993
CUITIVA;Partido Conservador Colombiano;456;1347;33.853007
DUITAMA;Partido Liberal Colombiano;18402;46123;39.897665
DUITAMA;Partido de la U;13955;46123;30.256054
DUITAMA;Opción Ciudadana;10246;46123;22.214513
DUITAMA;Partido Conservador Colombiano;1703;46123;3.692301
DUITAMA;Partido sin identificar;1469;46123;3.184962
DUITAMA;Partido sin identificar;348;46123;0.754504
EL COCUY;Partido Conservador Colombiano;1363;2480;54.959677
EL COCUY;Partido Liberal Colombiano;1045;2480;42.137097
EL COCUY;Partido de la U;60;2480;2.419355
EL COCUY;Alianza Social Independiente;12;2480;0.483871
EL ESPINO;Partido Liberal Colombiano;1077;1541;69.889682
EL ESPINO;Partido de la U;464;1541;30.110318
FIRAVITOBA;Partido Liberal Colombiano;1619;3355;48.256334
FIRAVITOBA;Partido Conservador Colombiano;1331;3355;39.672131
FIRAVITOBA;Alianza Verde;405;3355;12.071535
FLORESTA;Alianza Verde;1079;2092;51.577438
FLORESTA;Partido Liberal Colombiano;1013;2092;48.422562
GACHANTIVA;Partido de la U;1128;1989;56.711916
GACHANTIVA;Partido Liberal Colombiano;861;1989;43.288084
GAMEZA;Partido Liberal Colombiano;2669;2871;92.964124
GAMEZA;Alianza Social Independiente;188;2871;6.548241
GAMEZA;Partido sin identificar;14;2871;0.487635
GARAGOA;Partido Liberal Colombiano;3616;6926;52.209067
GARAGOA;Partido Conservador Colombiano;1939;6926;27.995957
GARAGOA;Alianza Verde;921;6926;13.297719
GARAGOA;Alianza Social Independiente;240;6926;3.465204
GARAGOA;Partido sin identificar;210;6926;3.032053
GUACAMAYAS;Partido sin identificar;755;1242;60.78905
GUACAMAYAS;Partido de la U;258;1242;20.772947
GUACAMAYAS;Partido Liberal Colombiano;229;1242;18.438003
GUATEQUE;Partido Liberal Colombiano;4257;5246;81.147541
GUATEQUE;Partido Conservador Colombiano;989;5246;18.852459
GUAYATA;Partido Liberal Colombiano;1355;2701;50.166605
GUAYATA;Partido de la U;1312;2701;48.574602
GUAYATA;Alianza Verde;34;2701;1.258793
GUICAN DE LA SIERRA;Partido de la U;1313;2030;64.679803
GUICAN DE LA SIERRA;Partido Liberal Colombiano;717;2030;35.320197
IZA;Partido de la U;948;1463;64.79836
IZA;Partido Liberal Colombiano;506;1463;34.586466
IZA;Alianza Social Independiente;9;1463;0.615174
JENESANO;Partido Conservador Colombiano;2047;3764;54.383634
JENESANO;Opción Ciudadana;1717;3764;45.616366
JERICO;Partido Liberal Colombiano;1428;2270;62.907489
JERICO;Alianza Verde;842;2270;37.092511
LA CAPILLA;Partido de la U;880;1838;47.878128
LA CAPILLA;Partido Liberal Colombiano;760;1838;41.349293
LA CAPILLA;Alianza Verde;198;1838;10.772579
LA UVITA;Alianza Verde;650;1718;37.834692
LA UVITA;Partido de la U;571;1718;33.236321
LA UVITA;Partido Liberal Colombiano;346;1718;20.139697
LA UVITA;Partido sin identificar;151;1718;8.78929
LA VICTORIA;Partido de la U;653;1153;56.634866
LA VICTORIA;Partido Conservador Colombiano;500;1153;43.365134
LABRANZAGRANDE;Partido Liberal Colombiano;1089;2050;53.121951
LABRANZAGRANDE;Partido de la U;683;2050;33.317073
LABRANZAGRANDE;Partido Conservador Colombiano;278;2050;13.560976
MACANAL;Partido de la U;1258;2475;50.828283
MACANAL;Partido Liberal Colombiano;1132;2475;45.737374
MACANAL;Alianza Verde;85;2475;3.434343
MARIPI;Alianza Verde;2466;4218;58.463727
MARIPI;Partido de la U;1752;4218;41.536273
MIRAFLORES;Partido Conservador Colombiano;2522;4977;50.673096
MIRAFLORES;Partido de la U;2455;4977;49.326904
MONGUA;Partido Liberal Colombiano;1704;2925;58.25641
MONGUA;Partido de la U;610;2925;20.854701
MONGUA;Partido sin identificar;592;2925;20.239316
MONGUA;Alianza Verde;19;2925;0.649573
MONGUI;Partido Liberal Colombiano;1791;2499;71.668667
MONGUI;Partido de la U;708;2499;28.331333
MONIQUIRA;Partido Liberal Colombiano;4379;9432;46.427057
MONIQUIRA;Partido de la U;3804;9432;40.330789
MONIQUIRA;Partido sin identificar;1012;9432;10.729432
MONIQUIRA;Partido Conservador Colombiano;237;9432;2.512723
MOTAVITA;Partido sin identificar;1707;3399;50.220653
MOTAVITA;Partido Conservador Colombiano;1685;3399;49.573404
MOTAVITA;Alianza Verde;7;3399;0.205943
MUZO;Partido Liberal Colombiano;3966;4097;96.802538
MUZO;Partido de la U;131;4097;3.197462
NOBSA;Alianza Verde;3403;8164;41.682999
NOBSA;Partido Conservador Colombiano;2097;8164;25.685938
NOBSA;Alianza Social Independiente;1232;8164;15.090642
NOBSA;Partido Liberal Colombiano;898;8164;10.99951
NOBSA;Partido sin identificar;534;8164;6.540911
NUEVO COLON;Partido de la U;1325;3265;40.58193
NUEVO COLON;Partido Conservador Colombiano;1170;3265;35.834609
NUEVO COLON;Alianza Verde;727;3265;22.266462
NUEVO COLON;Partido sin identificar;43;3265;1.316998
OICATA;Partido sin identificar;1125;1724;65.25522
OICATA;Partido Liberal Colombiano;577;1724;33.468677
OICATA;Partido sin identificar;22;1724;1.276102
OTANCHE;Partido Liberal Colombiano;2153;3972;54.204431
OTANCHE;Partido de la U;1062;3972;26.73716
OTANCHE;Alianza Verde;403;3972;10.146022
OTANCHE;Partido sin identificar;354;3972;8.912387
PACHAVITA;Partido Liberal Colombiano;1190;1388;85.73487
PACHAVITA;Alianza Verde;198;1388;14.26513
PAEZ;Partido de la U;676;1563;43.25016
PAEZ;Alianza Verde;665;1563;42.546385
PAEZ;Partido Liberal Colombiano;222;1563;14.203455
PAIPA;Partido de la U;9863;15146;65.119503
PAIPA;Partido Liberal Colombiano;5283;15146;34.880497
PAJARITO;Partido de la U;862;1230;70.081301
PAJARITO;Partido Liberal Colombiano;368;1230;29.918699
PANQUEBA;Partido de la U;540;1029;52.478134
PANQUEBA;Partido sin identificar;359;1029;34.888241
PANQUEBA;Partido Liberal Colombiano;130;1029;12.633625
PAUNA;Partido Liberal Colombiano;2686;4336;61.946494
PAUNA;Partido de la U;1650;4336;38.053506
PAYA;Alianza Verde;547;985;55.532995
PAYA;Partido Liberal Colombiano;438;985;44.467005
PAZ DE RIO;Partido Liberal Colombiano;1731;2806;61.689237
PAZ DE RIO;Alianza Verde;908;2806;32.35923
PAZ DE RIO;Partido Conservador Colombiano;167;2806;5.951532
PESCA;Partido Liberal Colombiano;1846;3961;46.604393
PESCA;Partido sin identificar;1773;3961;44.761424
PESCA;Alianza Verde;318;3961;8.028276
PESCA;Alianza Social Independiente;24;3961;0.605908
PISBA;Alianza Verde;476;742;64.150943
PISBA;Partido Liberal Colombiano;266;742;35.849057
PUERTO BOYACA;Partido de la U;7405;18726;39.54395
PUERTO BOYACA;Partido Conservador Colombiano;5728;18726;30.588487
PUERTO BOYACA;Partido sin identificar;4790;18726;25.579408
