MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;SANTOS CALDERON JUAN MANUEL;20050002;812
ALMEIDA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;63
AQUITANIA;SANTOS CALDERON JUAN MANUEL;20050002;6363
AQUITANIA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;470
ARCABUCO;SANTOS CALDERON JUAN MANUEL;20050002;1563
ARCABUCO;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;534
BELEN;SANTOS CALDERON JUAN MANUEL;20050002;2473
BELEN;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;670
BERBEO;SANTOS CALDERON JUAN MANUEL;20050002;514
BERBEO;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;193
BETEITIVA;SANTOS CALDERON JUAN MANUEL;20050002;622
BETEITIVA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;227
BOAVITA;SANTOS CALDERON JUAN MANUEL;20050002;2074
BOAVITA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;381
BOYACA;SANTOS CALDERON JUAN MANUEL;20050002;1407
BOYACA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;341
BRICENO;SANTOS CALDERON JUAN MANUEL;20050002;910
BRICENO;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;100
BUENAVISTA;SANTOS CALDERON JUAN MANUEL;20050002;2097
BUENAVISTA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;257
BUSBANZA;SANTOS CALDERON JUAN MANUEL;20050002;273
BUSBANZA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;85
CALDAS;SANTOS CALDERON JUAN MANUEL;20050002;1133
CALDAS;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;291
CAMPOHERMOSO;SANTOS CALDERON JUAN MANUEL;20050002;1232
CAMPOHERMOSO;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;91
CERINZA;SANTOS CALDERON JUAN MANUEL;20050002;1212
CERINZA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;450
CHINAVITA;SANTOS CALDERON JUAN MANUEL;20050002;1370
CHINAVITA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;177
CHIQUINQUIRA;SANTOS CALDERON JUAN MANUEL;20050002;12904
CHIQUINQUIRA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;5287
CHIQUIZA;SANTOS CALDERON JUAN MANUEL;20050002;1422
CHIQUIZA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;588
CHISCAS;SANTOS CALDERON JUAN MANUEL;20050002;1811
CHISCAS;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;82
CHITA;SANTOS CALDERON JUAN MANUEL;20050002;3150
CHITA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;138
CHITARAQUE;SANTOS CALDERON JUAN MANUEL;20050002;1644
CHITARAQUE;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;294
CHIVATA;SANTOS CALDERON JUAN MANUEL;20050002;709
CHIVATA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;360
CHIVOR;SANTOS CALDERON JUAN MANUEL;20050002;761
CHIVOR;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;50
CIENEGA;SANTOS CALDERON JUAN MANUEL;20050002;1946
CIENEGA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;173
COMBITA;SANTOS CALDERON JUAN MANUEL;20050002;2228
COMBITA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;1159
COPER;SANTOS CALDERON JUAN MANUEL;20050002;1434
COPER;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;134
CORRALES;SANTOS CALDERON JUAN MANUEL;20050002;898
CORRALES;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;287
COVARACHIA;SANTOS CALDERON JUAN MANUEL;20050002;1221
COVARACHIA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;75
CUBARA;SANTOS CALDERON JUAN MANUEL;20050002;829
CUBARA;MOCKUS SIVICKAS AURELIJUS RUTENIS ANTANAS;20090002;371
