MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
BOAVITA;DAVID RICARDO GAYON MUNOZ;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL - PARTIDO DE LA U;1126,Cambio Radical,0.0,0.0
BOAVITA;FABIO FIGUEROA JIMENEZ;PARTIDO ALIANZA VERDE;1912,BOAVITA;FABIO FIGUEROA JIMENEZ;PARTIDO ALIANZA VERDE;1912,0.0,0.0
BOAVITA;MARIO ROSAS BERMUDEZ;POR LA DIGNIDAD DE UN PUEBLO PDP;54,BOAVITA;MARIO ROSAS BERMUDEZ;POR LA DIGNIDAD DE UN PUEBLO PDP;54,0.0,0.0
BOAVITA;MARTIN MEDINA JAIME;PARTIDO CENTRO DEMOCRATICO;170,BOAVITA;MARTIN MEDINA JAIME;PARTIDO CENTRO DEMOCRATICO;170,0.0,0.0
BOYACA;EZEQUIEL GUERRA PARADA;ALCALDIA DE BOYACA;1650,BOYACA;EZEQUIEL GUERRA PARADA;ALCALDIA DE BOYACA;1650,0.0,0.0
BOYACA;RAFAEL ANTONIO RATIVA DIAZ;PARA SERVIRLE A USTED;1695,BOYACA;RAFAEL ANTONIO RATIVA DIAZ;PARA SERVIRLE A USTED;1695,0.0,0.0
BRICENO;BEATRIZ PAEZ CASTELLANOS;PARTIDO ALIANZA VERDE;871,BRICEÑO;BEATRIZ PAEZ CASTELLANOS;PARTIDO ALIANZA VERDE;871,0.0,0.0
BRICENO;JHON ARLEY PINEDA GONZALEZ;PARTIDO CAMBIO RADICAL;385,BRICEÑO;JHON ARLEY PINEDA GONZALEZ;PARTIDO CAMBIO RADICAL;385,0.0,0.0
BRICENO;PABLO ANTONIO SOLANO RIVERA;PARTIDO CENTRO DEMOCRATICO;352,BRICEÑO;PABLO ANTONIO SOLANO RIVERA;PARTIDO CENTRO DEMOCRATICO;352,0.0,0.0
BRICENO;PEDRO ALEXANDER QUESADA AVILA;PARTIDO CONSERVADOR COLOMBIANO;122,BRICEÑO;PEDRO ALEXANDER QUESADA AVILA;PARTIDO CONSERVADOR COLOMBIANO;122,0.0,0.0
BUENAVISTA;CESAR JAVIER BRICENO SUAREZ;BUENAVISTA NOS UNE;1328,BUENAVISTA;CESAR JAVIER BRICEÑO SUAREZ;BUENAVISTA NOS UNE;1328,0.0,0.0
BUENAVISTA;MIGUEL ANTONIO CASTILLO BARRAGAN;GOBIERNO DE RESULTADOS;2270,BUENAVISTA;MIGUEL ANTONIO CASTILLO BARRAGAN;GOBIERNO DE RESULTADOS;2270,0.0,0.0
