MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;LEGUIZAMON ROA MARCO TULIO;PARTIDO CONSERVADOR COLOMBIANO;169
ALMEIDA;ROA SARMIENTO HUMPHREY;PARTIDO CONSERVADOR COLOMBIANO;114
ALMEIDA;ORTIZ NUNEZ HECTOR ANGEL;PARTIDO CONSERVADOR COLOMBIANO;70
ALMEIDA;ALFONSO BERMUDEZ LUIS IGNACIO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;45
ALMEIDA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;31
ALMEIDA;PEREZ HIDALGO JUAN BAUTISTA;PARTIDO CONSERVADOR COLOMBIANO;25
ALMEIDA;GUERRERO AMAYA FABIO ANTONIO;PARTIDO VERDE;21
ALMEIDA;PUENTES DIAZ GUSTAVO HERNAN;PARTIDO CONSERVADOR COLOMBIANO;21
ALMEIDA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;16
ALMEIDA;MAYORGA PRIETO CARLOS ALFONSO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;14
ALMEIDA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;11
ALMEIDA;PARTIDO VERDE;PARTIDO VERDE;11
ALMEIDA;BUSTOS BALLESTEROS FABIO TADEO;PARTIDO VERDE;8
ALMEIDA;JIMENEZ TAMAYO SANTOS MIGUEL;PARTIDO LIBERAL COLOMBIANO;7
ALMEIDA;POLO DEMOCRATICO ALTERNATIVO;POLO DEMOCRATICO ALTERNATIVO;6
ALMEIDA;CARDOZO MONTANA LUIS FRANCISCO;PARTIDO CONSERVADOR COLOMBIANO;5
ALMEIDA;ROMERO PINEROS RAFAEL;PARTIDO LIBERAL COLOMBIANO;5
ALMEIDA;SANCHEZ GARAVITO JONATAN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;5
ALMEIDA;AMAYA RODRIGUEZ CARLOS ANDRES;PARTIDO VERDE;4
ALMEIDA;CARRENO LEAL LUIS HENRY;PARTIDO VERDE;4
ALMEIDA;VIANCHA VIANCHA SEGUNDO NOE;PARTIDO VERDE;4
ALMEIDA;VOTOS EN BLANCO INDIGENAS;;4
ALMEIDA;SILVA AMIN ZAMIR EDUARDO;PARTIDO LIBERAL COLOMBIANO;3
ALMEIDA;ALIANZA SOCIAL INDIGENA  ASI;ALIANZA SOCIAL INDIGENA  ASI;2
ALMEIDA;MOLINA HERNANDEZ LUZ DARY;POLO DEMOCRATICO ALTERNATIVO;2
ALMEIDA;ORTIZ NOVA SANDRA LILIANA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2
ALMEIDA;PEREA ALBARRACIN LUIS ALEJANDRO;PARTIDO LIBERAL COLOMBIANO;2
ALMEIDA;ASOCIACION DE MUJERES AFROCOLOMBIANAS HIJAS DE YEMAYA;ASOCIACION DE MUJERES AFROCOLOMBIANAS HIJAS DE YEMAYA;1
ALMEIDA;BARRERA GUTIERREZ LUIS GUILLERMO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1
ALMEIDA;CORPORACION AFROCARTAGENA AFROCAR;CORPORACION AFROCARTAGENA AFROCAR;1
ALMEIDA;MOVIMIENTO APERTURA LIBERAL;MOVIMIENTO APERTURA LIBERAL;1
ALMEIDA;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;1
ALMEIDA;TORRES TORRES ROSALBA;POLO DEMOCRATICO ALTERNATIVO;1
AQUITANIA;CARDOZO MONTANA LUIS FRANCISCO;PARTIDO CONSERVADOR COLOMBIANO;3520
AQUITANIA;PUENTES DIAZ GUSTAVO HERNAN;PARTIDO CONSERVADOR COLOMBIANO;637
AQUITANIA;BARRERA GUTIERREZ LUIS GUILLERMO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;275
AQUITANIA;PARTIDO CONSERVADOR COLOMBIANO;PARTIDO CONSERVADOR COLOMBIANO;270
AQUITANIA;MAYORGA PRIETO CARLOS ALFONSO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;55
AQUITANIA;PEREZ HIDALGO JUAN BAUTISTA;PARTIDO CONSERVADOR COLOMBIANO;50
AQUITANIA;AMAYA RODRIGUEZ CARLOS ANDRES;PARTIDO VERDE;45
AQUITANIA;ROA SARMIENTO HUMPHREY;PARTIDO CONSERVADOR COLOMBIANO;44
AQUITANIA;PARTIDO VERDE;PARTIDO VERDE;39
AQUITANIA;LEGUIZAMON ROA MARCO TULIO;PARTIDO CONSERVADOR COLOMBIANO;37
AQUITANIA;PEREA ALBARRACIN LUIS ALEJANDRO;PARTIDO LIBERAL COLOMBIANO;37
AQUITANIA;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;32
AQUITANIA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;32
AQUITANIA;VIANCHA VIANCHA SEGUNDO NOE;PARTIDO VERDE;31
AQUITANIA;POLO DEMOCRATICO ALTERNATIVO;POLO DEMOCRATICO ALTERNATIVO;24
AQUITANIA;ORTIZ NUNEZ HECTOR ANGEL;PARTIDO CONSERVADOR COLOMBIANO;23
AQUITANIA;SIERRA LEON PABLO ARISTOBULO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;23
AQUITANIA;VOTOS EN BLANCO INDIGENAS;;22
AQUITANIA;ALFONSO BERMUDEZ LUIS IGNACIO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;20
AQUITANIA;ORJUELA GARCIA HECTOR EFRAIN;PARTIDO LIBERAL COLOMBIANO;19
AQUITANIA;VOTOS EN BLANCO AFRODESCENDIENTES;;18
AQUITANIA;CARRENO LEAL LUIS HENRY;PARTIDO VERDE;14
AQUITANIA;OLARTE VILLAMIL GILBERTO;PARTIDO VERDE;14
AQUITANIA;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;13
AQUITANIA;SILVA AMIN ZAMIR EDUARDO;PARTIDO LIBERAL COLOMBIANO;10
AQUITANIA;MOVIMIENTO APERTURA LIBERAL;MOVIMIENTO APERTURA LIBERAL;9
AQUITANIA;BUSTOS BALLESTEROS FABIO TADEO;PARTIDO VERDE;8
AQUITANIA;ORTIZ NOVA SANDRA LILIANA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;8
AQUITANIA;SANCHEZ GARAVITO JONATAN;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;5
AQUITANIA;LOPEZ CARO JOSE RICARDO;POLO DEMOCRATICO ALTERNATIVO;4
AQUITANIA;PARTIDO DE INTEGRACION NACIONAL  PIN;PARTIDO DE INTEGRACION NACIONAL  PIN;4
AQUITANIA;GUERRERO AMAYA FABIO ANTONIO;PARTIDO VERDE;3
AQUITANIA;ALIANZA SOCIAL INDIGENA  ASI;ALIANZA SOCIAL INDIGENA  ASI;2
AQUITANIA;JIMENEZ TAMAYO SANTOS MIGUEL;PARTIDO LIBERAL COLOMBIANO;2
AQUITANIA;MOLINA HERNANDEZ LUZ DARY;POLO DEMOCRATICO ALTERNATIVO;2
AQUITANIA;ORGANIZACION DE LAS ETNIAS AFROCOLOMBIANAS RESIDENTES EN EL;ORGANIZACION DE LAS ETNIAS AFROCOLOMBIANAS RESIDENTES EN EL;2
AQUITANIA;TORRES TORRES ROSALBA;POLO DEMOCRATICO ALTERNATIVO;2
AQUITANIA;ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA DEPORTE EDU;ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA DEPORTE EDU;1
AQUITANIA;ASOCIACION DE DESPLAZADOS DE LA COSTA PACIFICA RESIDENTES EN;ASOCIACION DE DESPLAZADOS DE LA COSTA PACIFICA RESIDENTES EN;1
AQUITANIA;ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DEL AT;ASOCIACION POR LOS DERECHOS DE LAS COMUNIDADES NEGRAS DEL AT;1
AQUITANIA;CONSEJO COMUNITARIO DE CORDOBA Y SAN CIPRIANO DEL MUNICIPIO;CONSEJO COMUNITARIO DE CORDOBA Y SAN CIPRIANO DEL MUNICIPIO;1
AQUITANIA;COPORACION PARA EL DESARROLLO Y CAPACITACION DE BUENAVENTURA;COPORACION PARA EL DESARROLLO Y CAPACITACION DE BUENAVENTURA;1
AQUITANIA;CORPORACION AFROCARTAGENA AFROCAR;CORPORACION AFROCARTAGENA AFROCAR;1
AQUITANIA;CORPORACION DE LIDERAZGO Y DESARROLLO EMPRESARIAL AFROCOLOMB;CORPORACION DE LIDERAZGO Y DESARROLLO EMPRESARIAL AFROCOLOMB;1
AQUITANIA;CORPORACION SOCIAL E INTEGRAL DEL PACIFICO CORPOSINPAC;CORPORACION SOCIAL E INTEGRAL DEL PACIFICO CORPOSINPAC;1
AQUITANIA;FUNDACION AFROGUAJIRA FUNAGUA;FUNDACION AFROGUAJIRA FUNAGUA;1
AQUITANIA;FUNDACION FUNDAPAS;FUNDACION FUNDAPAS;1
AQUITANIA;FUNDACION NARINENSES AFROCOLOMBIANOS FORJADORES DEL FUTURO;FUNDACION NARINENSES AFROCOLOMBIANOS FORJADORES DEL FUTURO;1
AQUITANIA;MOVIMIENTO AFROAMBIENTAL COLOMBIANO;MOVIMIENTO AFROAMBIENTAL COLOMBIANO;1
AQUITANIA;PINACUE ACHICUE DANIEL;ALIANZA SOCIAL INDIGENA  ASI;1
AQUITANIA;ROMERO PINEROS RAFAEL;PARTIDO LIBERAL COLOMBIANO;1
AQUITANIA;ACUNA CARDALES YAHIR FERNANDO;ASOCIACION DE AFROCOLOMBIANOS PARA LA VIVIENDA DEPORTE EDU;0
ARCABUCO;SIERRA LEON PABLO ARISTOBULO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;316
ARCABUCO;ROMERO PINEROS RAFAEL;PARTIDO LIBERAL COLOMBIANO;149
ARCABUCO;OLARTE VILLAMIL GILBERTO;PARTIDO VERDE;93
ARCABUCO;ORTIZ NUNEZ HECTOR ANGEL;PARTIDO CONSERVADOR COLOMBIANO;89
ARCABUCO;PUENTES DIAZ GUSTAVO HERNAN;PARTIDO CONSERVADOR COLOMBIANO;74
ARCABUCO;LEGUIZAMON ROA MARCO TULIO;PARTIDO CONSERVADOR COLOMBIANO;72
ARCABUCO;MAYORGA PRIETO CARLOS ALFONSO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;63
ARCABUCO;PARTIDO VERDE;PARTIDO VERDE;52
ARCABUCO;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;MOVIMIENTO INDEPENDIENTE DE RENOVACION ABSOLUTA  MIRA;44
ARCABUCO;ORTIZ NOVA SANDRA LILIANA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;41
ARCABUCO;AMAYA RODRIGUEZ CARLOS ANDRES;PARTIDO VERDE;40
ARCABUCO;PARTIDO LIBERAL COLOMBIANO;PARTIDO LIBERAL COLOMBIANO;32
ARCABUCO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;31
ARCABUCO;ROA SARMIENTO HUMPHREY;PARTIDO CONSERVADOR COLOMBIANO;30
ARCABUCO;VOTOS EN BLANCO AFRODESCENDIENTES;;29
