MUNNOMBRE;PARNOMBRE;VOTOS;TOTAL_VOTOS;PORCENTAJE
ALMEIDA;Centro Democrático;565;806;70.099256
ALMEIDA;Partido de la U;241;806;29.900744
AQUITANIA;Centro Democrático;5780;6639;87.061304
AQUITANIA;Partido de la U;859;6639;12.938696
ARCABUCO;Centro Democrático;1231;2206;55.802357
ARCABUCO;Partido de la U;975;2206;44.197643
BELEN;Centro Democrático;2246;3398;66.097705
BELEN;Partido de la U;1152;3398;33.902295
BERBEO;Centro Democrático;349;635;54.96063
BERBEO;Partido de la U;286;635;45.03937
BETEITIVA;Partido de la U;464;906;51.214128
BETEITIVA;Centro Democrático;442;906;48.785872
BOAVITA;Centro Democrático;1692;2348;72.061329
BOAVITA;Partido de la U;656;2348;27.938671
BOYACA;Centro Democrático;1282;1942;66.014418
BOYACA;Partido de la U;660;1942;33.985582
BRICENO;Centro Democrático;693;1032;67.151163
BRICENO;Partido de la U;339;1032;32.848837
BUENAVISTA;Centro Democrático;1536;2345;65.501066
BUENAVISTA;Partido de la U;809;2345;34.498934
BUSBANZA;Centro Democrático;247;369;66.937669
BUSBANZA;Partido de la U;122;369;33.062331
CALDAS;Centro Democrático;935;1552;60.244845
CALDAS;Partido de la U;617;1552;39.755155
CAMPOHERMOSO;Centro Democrático;845;1287;65.656566
CAMPOHERMOSO;Partido de la U;442;1287;34.343434
CERINZA;Centro Democrático;1045;1622;64.426634
CERINZA;Partido de la U;577;1622;35.573366
CHINAVITA;Centro Democrático;1058;1513;69.927297
CHINAVITA;Partido de la U;455;1513;30.072703
CHIQUINQUIRA;Centro Democrático;10583;19277;54.899621
CHIQUINQUIRA;Partido de la U;8694;19277;45.100379
CHIQUIZA;Partido de la U;1430;2214;64.588979
CHIQUIZA;Centro Democrático;784;2214;35.411021
CHISCAS;Centro Democrático;1395;1775;78.591549
CHISCAS;Partido de la U;380;1775;21.408451
CHITA;Centro Democrático;2744;3118;88.005131
CHITA;Partido de la U;374;3118;11.994869
CHITARAQUE;Centro Democrático;1422;2342;60.717336
CHITARAQUE;Partido de la U;920;2342;39.282664
CHIVATA;Centro Democrático;734;1421;51.653765
CHIVATA;Partido de la U;687;1421;48.346235
CHIVOR;Centro Democrático;640;901;71.032186
CHIVOR;Partido de la U;261;901;28.967814
CIENEGA;Centro Democrático;1836;2162;84.921369
CIENEGA;Partido de la U;326;2162;15.078631
COMBITA;Centro Democrático;2081;3919;53.100281
COMBITA;Partido de la U;1838;3919;46.899719
COPER;Partido de la U;878;1634;53.73317
COPER;Centro Democrático;756;1634;46.26683
CORRALES;Centro Democrático;738;1165;63.347639
CORRALES;Partido de la U;427;1165;36.652361
COVARACHIA;Centro Democrático;1197;1417;84.474241
COVARACHIA;Partido de la U;220;1417;15.525759
CUBARA;Partido de la U;1002;1665;60.18018
CUBARA;Centro Democrático;663;1665;39.81982
CUCAITA;Centro Democrático;1062;1757;60.443939
CUCAITA;Partido de la U;695;1757;39.556061
CUITIVA;Centro Democrático;731;1048;69.751908
CUITIVA;Partido de la U;317;1048;30.248092
DUITAMA;Centro Democrático;22740;41131;55.286767
DUITAMA;Partido de la U;18391;41131;44.713233
EL COCUY;Centro Democrático;1688;1910;88.376963
EL COCUY;Partido de la U;222;1910;11.623037
EL ESPINO;Centro Democrático;1143;1271;89.92919
EL ESPINO;Partido de la U;128;1271;10.07081
FIRAVITOBA;Partido de la U;1192;2358;50.551315
FIRAVITOBA;Centro Democrático;1166;2358;49.448685
FLORESTA;Centro Democrático;1170;1595;73.354232
FLORESTA;Partido de la U;425;1595;26.645768
GACHANTIVA;Centro Democrático;913;1507;60.583942
GACHANTIVA;Partido de la U;594;1507;39.416058
GAMEZA;Centro Democrático;1495;1951;76.627371
GAMEZA;Partido de la U;456;1951;23.372629
GARAGOA;Centro Democrático;3391;5777;58.698286
GARAGOA;Partido de la U;2386;5777;41.301714
GUACAMAYAS;Centro Democrático;803;886;90.632054
GUACAMAYAS;Partido de la U;83;886;9.367946
GUATEQUE;Centro Democrático;2113;4019;52.575267
GUATEQUE;Partido de la U;1906;4019;47.424733
GUAYATA;Centro Democrático;1487;1956;76.022495
GUAYATA;Partido de la U;469;1956;23.977505
GUICAN DE LA SIERRA;Centro Democrático;1299;1587;81.852552
GUICAN DE LA SIERRA;Partido de la U;288;1587;18.147448
IZA;Centro Democrático;641;1015;63.152709
IZA;Partido de la U;374;1015;36.847291
JENESANO;Centro Democrático;1622;2629;61.696463
JENESANO;Partido de la U;1007;2629;38.303537
JERICO;Centro Democrático;1361;1589;85.651353
JERICO;Partido de la U;228;1589;14.348647
LA CAPILLA;Centro Democrático;855;1288;66.381988
LA CAPILLA;Partido de la U;433;1288;33.618012
LA UVITA;Centro Democrático;1056;1294;81.607419
LA UVITA;Partido de la U;238;1294;18.392581
LA VICTORIA;Partido de la U;384;736;52.173913
LA VICTORIA;Centro Democrático;352;736;47.826087
LABRANZAGRANDE;Centro Democrático;1250;1454;85.969739
LABRANZAGRANDE;Partido de la U;204;1454;14.030261
MACANAL;Centro Democrático;1206;1777;67.867192
MACANAL;Partido de la U;571;1777;32.132808
MARIPI;Centro Democrático;1623;2919;55.601233
MARIPI;Partido de la U;1296;2919;44.398767
MIRAFLORES;Partido de la U;2303;3995;57.647059
MIRAFLORES;Centro Democrático;1692;3995;42.352941
MONGUA;Centro Democrático;2136;2393;89.260343
MONGUA;Partido de la U;257;2393;10.739657
MONGUI;Centro Democrático;1330;1812;73.399558
MONGUI;Partido de la U;482;1812;26.600442
