MUNNOMBRE,PARNOMBRE,TOTALVOTOSVALIDOS,PORCENTAJE
ALMEIDA;EFRAIN JOSE CEPEDA SARABIA;PARTIDO CONSERVADOR COLOMBIANO;80,ALMEIDA;Efrain Jose Cepeda Sarabia;PARTIDO CONSERVADOR COLOMBIANO;80,0.0,0.0
ALMEIDA;EVERTH BUSTAMANTE GARCIA;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Everth Bustamante Garcia;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;FABIAN ORLANDO RIVERA CARRILLO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;1,ALMEIDA;Fabian Orlando Rivera Carrillo;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;1,0.0,0.0
ALMEIDA;GERMAN DARIO HOYOS GIRALDO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;2,ALMEIDA;German Dario Hoyos Giraldo;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;2,0.0,0.0
ALMEIDA;GSC COLOMBIA JUSTA LIBRES;GSC COLOMBIA JUSTA LIBRES;4,ALMEIDA;Gsc Colombia Justa Libres;Gsc Colombia Justa Libres;4,0.0,0.0
ALMEIDA;GSC SI SE PUEDE;GSC SI SE PUEDE;1,ALMEIDA;Gsc Si Se Puede;Gsc Si Se Puede;1,0.0,0.0
ALMEIDA;GSC UNION CON FORTALEZA;GSC UNION CON FORTALEZA;10,ALMEIDA;Gsc Union Con Fortaleza;Gsc Union Con Fortaleza;10,0.0,0.0
ALMEIDA;GUILLERMO LEON PALACIO VEGA;PARTIDO CAMBIO RADICAL;1,ALMEIDA;Guillermo Leon Palacio Vega;PARTIDO CAMBIO RADICAL;1,0.0,0.0
"ALMEIDA;GUSTAVO BOLIVAR MORENO;""COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)"";4","ALMEIDA;Gustavo Bolivar Moreno;""COALICION LISTA DE LA DECENCIA (ASI;UP;MAIS)"";4",0.0,0.0
ALMEIDA;HERNAN PENAGOS GIRALDO;PARTIDO SOCIAL DE UNIDAD NACIONAL PARTIDO DE LA U;6,ALMEIDA;Hernan Penagos Giraldo;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;6,0.0,0.0
ALMEIDA;HERNANDO MARQUEZ ARISTIZABAL;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Hernando Marquez Aristizabal;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;HONORIO MIGUEL HENRIQUEZ PINEDO;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Honorio Miguel Henriquez Pinedo;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;HORACIO JOSE SERPA MONCADA;PARTIDO LIBERAL COLOMBIANO;1,ALMEIDA;Horacio Jose Serpa Moncada;PARTIDO LIBERAL COLOMBIANO;1,0.0,0.0
ALMEIDA;HUGO TOVAR MARROQUIN;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Hugo Tovar Marroquin;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;IVAN LEONIDAS NAME VASQUEZ;PARTIDO ALIANZA VERDE;2,ALMEIDA;Ivan Leonidas Name Vasquez;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;JAVIER CASTRO MONSALVE;PARTIDO CONSERVADOR COLOMBIANO;1,ALMEIDA;Javier Castro Monsalve;PARTIDO CONSERVADOR COLOMBIANO;1,0.0,0.0
ALMEIDA;JOHN MILTON RODRIGUEZ GONZALEZ;GSC COLOMBIA JUSTA LIBRES;0,ALMEIDA;John Milton Rodriguez Gonzalez;GSC COLOMBIA JUSTA LIBRES;0,0.0,0.0
ALMEIDA;JORGE EDUARDO LONDONO ULLOA;PARTIDO ALIANZA VERDE;221,ALMEIDA;Jorge Eduardo Londono Ulloa;PARTIDO ALIANZA VERDE;221,0.0,0.0
ALMEIDA;JORGE ELIESER PRIETO RIVEROS;PARTIDO ALIANZA VERDE;2,ALMEIDA;Jorge Elieser Prieto Riveros;PARTIDO ALIANZA VERDE;2,0.0,0.0
ALMEIDA;JORGE ENRIQUE ROBLEDO CASTILLO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;1,ALMEIDA;Jorge Enrique Robledo Castillo;PARTIDO POLO DEMOCRATICO ALTERNATIVO;1,0.0,0.0
ALMEIDA;JOSE ANTONIO RODRIGUEZ MONTENEGRO;PARTIDO CAMBIO RADICAL;1,ALMEIDA;Jose Antonio Rodriguez Montenegro;PARTIDO CAMBIO RADICAL;1,0.0,0.0
ALMEIDA;JOSE MIGUEL SANTAMARIA URIBE;PARTIDO CENTRO DEMOCRATICO;1,ALMEIDA;Jose Miguel Santamaria Uribe;PARTIDO CENTRO DEMOCRATICO;1,0.0,0.0
ALMEIDA;JUAN CARLOS BARRERA VALENCIA;PARTIDO ALIANZA VERDE;1,ALMEIDA;Juan Carlos Barrera Valencia;PARTIDO ALIANZA VERDE;1,0.0,0.0
