MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
FLORESTA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1583
FLORESTA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;609
GACHANTIVA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1462
GACHANTIVA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;479
GAMEZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1934
GAMEZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;582
GARAGOA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;4430
GARAGOA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;3221
GUACAMAYAS;RODOLFO HERNÁNDEZ;Liga de Gobernantes;766
GUACAMAYAS;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;154
GUATEQUE;RODOLFO HERNÁNDEZ;Liga de Gobernantes;3545
GUATEQUE;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1967
GUAYATA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2000
GUAYATA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;464
GUICAN;RODOLFO HERNÁNDEZ;Liga de Gobernantes;998
GUICAN;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;705
IZA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;892
IZA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;506
JENESANO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;2711
JENESANO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;1247
JERICO;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1629
JERICO;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;275
LA CAPILLA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1228
LA CAPILLA;GUSTAVO PETRO;COALICIÓN PACTO HISTÓRICO;407
LA UVITA;RODOLFO HERNÁNDEZ;Liga de Gobernantes;1327
