MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ALMEIDA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;809
ALMEIDA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;511
ALMEIDA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;62
ALMEIDA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;29
ALMEIDA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;10
ALMEIDA;Clementina Guayacan Guevara;NO MAS;7
ALMEIDA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;1
AQUITANIA (PUEBLOVIEJO);Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;4778
AQUITANIA (PUEBLOVIEJO);Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;3289
AQUITANIA (PUEBLOVIEJO);Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;437
AQUITANIA (PUEBLOVIEJO);Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;348
AQUITANIA (PUEBLOVIEJO);Clementina Guayacan Guevara;NO MAS;58
AQUITANIA (PUEBLOVIEJO);Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;35
AQUITANIA (PUEBLOVIEJO);Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;8
ARCABUCO;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1808
ARCABUCO;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;1481
ARCABUCO;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;235
ARCABUCO;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;112
ARCABUCO;Clementina Guayacan Guevara;NO MAS;32
ARCABUCO;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;22
ARCABUCO;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;3
BELEN;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;2481
BELEN;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;2082
BELEN;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;254
BELEN;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;85
BELEN;Clementina Guayacan Guevara;NO MAS;33
BELEN;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;17
BELEN;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
BERBEO;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;611
BERBEO;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;488
BERBEO;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;93
BERBEO;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;11
BERBEO;Clementina Guayacan Guevara;NO MAS;2
BERBEO;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;1
BETEITIVA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;842
BETEITIVA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;584
BETEITIVA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;114
BETEITIVA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;34
BETEITIVA;Clementina Guayacan Guevara;NO MAS;11
BETEITIVA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;3
BETEITIVA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
BOAVITA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1914
BOAVITA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;704
BOAVITA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;245
BOAVITA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;111
BOAVITA;Clementina Guayacan Guevara;NO MAS;26
BOAVITA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;19
BOAVITA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
BOYACA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;2082
BOYACA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;839
BOYACA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;228
BOYACA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;215
BOYACA;Clementina Guayacan Guevara;NO MAS;60
BOYACA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;7
BOYACA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;5
BRICEÑO;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;969
BRICEÑO;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;908
BRICEÑO;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;16
BRICEÑO;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;13
BRICEÑO;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;13
BRICEÑO;Clementina Guayacan Guevara;NO MAS;3
BUENAVISTA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;2461
BUENAVISTA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;907
BUENAVISTA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;127
BUENAVISTA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;23
BUENAVISTA;Clementina Guayacan Guevara;NO MAS;16
BUENAVISTA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;8
BUENAVISTA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;6
BUSBANZA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;440
BUSBANZA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;358
BUSBANZA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;42
BUSBANZA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;20
BUSBANZA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;3
BUSBANZA;Clementina Guayacan Guevara;NO MAS;2
CALDAS;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1235
CALDAS;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;968
CALDAS;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;114
CALDAS;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;41
CALDAS;Clementina Guayacan Guevara;NO MAS;16
CALDAS;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;5
CALDAS;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;3
CAMPOHERMOSO;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;951
CAMPOHERMOSO;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;778
CAMPOHERMOSO;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;46
CAMPOHERMOSO;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;15
CAMPOHERMOSO;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;6
CAMPOHERMOSO;Clementina Guayacan Guevara;NO MAS;2
CERINZA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1177
CERINZA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;1098
CERINZA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;296
CERINZA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;75
CERINZA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;28
CERINZA;Clementina Guayacan Guevara;NO MAS;19
CERINZA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
CHINAVITA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1112
CHINAVITA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;848
CHINAVITA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;57
CHINAVITA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;47
CHINAVITA;Clementina Guayacan Guevara;NO MAS;11
CHINAVITA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;9
CHINAVITA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;1
CHIQUINQUIRA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;11318
CHIQUINQUIRA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;9871
CHIQUINQUIRA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;1989
CHIQUINQUIRA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;517
CHIQUINQUIRA;Clementina Guayacan Guevara;NO MAS;370
CHIQUINQUIRA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;150
CHIQUINQUIRA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;106
CHIQUIZA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;2014
CHIQUIZA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;1582
CHIQUIZA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;139
CHIQUIZA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;76
CHIQUIZA;Clementina Guayacan Guevara;NO MAS;14
CHIQUIZA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;3
CHIQUIZA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;1
CHISCAS;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1254
CHISCAS;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;834
CHISCAS;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;52
CHISCAS;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;9
CHISCAS;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;4
CHISCAS;Clementina Guayacan Guevara;NO MAS;3
CHITA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;2950
CHITA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;848
CHITA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;132
CHITA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;28
CHITA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;15
CHITA;Clementina Guayacan Guevara;NO MAS;5
CHITA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
CHITARAQUE;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;1853
CHITARAQUE;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1752
CHITARAQUE;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;89
CHITARAQUE;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;20
CHITARAQUE;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;19
CHITARAQUE;Clementina Guayacan Guevara;NO MAS;7
CHITARAQUE;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
CHIVATA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1389
CHIVATA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;663
CHIVATA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;203
CHIVATA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;186
CHIVATA;Clementina Guayacan Guevara;NO MAS;68
CHIVATA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;12
CHIVATA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
CHIVOR;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;889
CHIVOR;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;443
CHIVOR;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;17
CHIVOR;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;4
CHIVOR;Clementina Guayacan Guevara;NO MAS;2
CHIVOR;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
CHIVOR;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;1
CIENEGA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1376
CIENEGA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;1221
CIENEGA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;211
CIENEGA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;141
CIENEGA;Clementina Guayacan Guevara;NO MAS;26
CIENEGA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;10
CIENEGA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;2
COMBITA;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;3504
COMBITA;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;2738
COMBITA;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;686
COMBITA;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;628
COMBITA;Clementina Guayacan Guevara;NO MAS;93
COMBITA;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;47
COMBITA;Mauricio Alberto Landazabal Suaza;PARTIDO POLÍTICO CREEMOS;11
COPER;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;1410
COPER;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;808
COPER;Jose Giovany Pinzon Baez;PACTO HISTÓRICO COLOMBIA PUEDE;55
COPER;Victor Manuel Leguizamo Diaz;BOYACÁ SOMOS TODOS;25
COPER;Hosman Yaith Martinez Moreno;NUEVA FUERZA DEMOCRÁTICA;9
COPER;Clementina Guayacan Guevara;NO MAS;7
CORRALES;Carlos Andres Amaya Rodriguez;BOYACÁ GRANDE;787
CORRALES;Rodrigo Arturo Rojas Lara;RESULTADOS PARA BOYACA;779
