MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
ARCABUCO;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;23
ARCABUCO;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;25
ARCABUCO;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;51
BELEN;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;5
BELEN;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;209
BELEN;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;27
BELEN;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;17
BELEN;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;7
BELEN;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;68
BELEN;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;3
BELEN;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;85
BELEN;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;256
BELEN;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;113
BELEN;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;5
BELEN;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;10
BELEN;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;20
BELEN;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;705
BELEN;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;29
BELEN;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;70
BELEN;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;111
BELEN;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;133
BERBEO;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;1
BERBEO;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;17
BERBEO;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;10
BERBEO;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;1
BERBEO;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;3
BERBEO;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;1
BERBEO;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;10
BERBEO;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;28
BERBEO;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;11
BERBEO;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1
BERBEO;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;1
BERBEO;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;162
BERBEO;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;10
BERBEO;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;2
BERBEO;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;33
BERBEO;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;11
BETEITIVA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;3
BETEITIVA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;55
BETEITIVA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;8
BETEITIVA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;1
BETEITIVA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;1
BETEITIVA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;12
BETEITIVA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;2
BETEITIVA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;10
BETEITIVA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;41
BETEITIVA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;48
BETEITIVA;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;1
BETEITIVA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;3
BETEITIVA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;192
BETEITIVA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;6
BETEITIVA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;17
BETEITIVA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;38
BETEITIVA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;30
BOAVITA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;4
BOAVITA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;104
BOAVITA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;15
BOAVITA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;9
BOAVITA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;6
BOAVITA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;14
BOAVITA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;36
BOAVITA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;73
BOAVITA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;24
BOAVITA;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;3
BOAVITA;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;2
BOAVITA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;3
BOAVITA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;679
BOAVITA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;26
BOAVITA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;45
BOAVITA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;107
BOAVITA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;74
BOYACA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;1
BOYACA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;73
BOYACA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;14
BOYACA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;6
BOYACA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;1
BOYACA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;8
BOYACA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;4
BOYACA;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;44
BOYACA;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;88
BOYACA;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;41
BOYACA;LEONARDO HUMBERTO HUERTA GUTIERREZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;9
BOYACA;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;3
BOYACA;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;15
BOYACA;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;247
BOYACA;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;43
BOYACA;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;23
BOYACA;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;87
BOYACA;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;50
BRICEÑO;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;3
BRICEÑO;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;28
BRICEÑO;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;7
BRICEÑO;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;3
BRICEÑO;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;2
BRICEÑO;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;12
BRICEÑO;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;1
BRICEÑO;JUAN CARLOS PINZON BUENO;LA GRAN CONSULTA POR COLOMBIA;15
BRICEÑO;JUAN DANIEL OVIEDO ARANGO;LA GRAN CONSULTA POR COLOMBIA;33
BRICEÑO;JUAN MANUEL GALAN PACHON;LA GRAN CONSULTA POR COLOMBIA;5
BRICEÑO;MARTHA VIVIANA BERNAL AMAYA;FRENTE POR LA VIDA;3
BRICEÑO;MAURICIO CARDENAS SANTAMARIA;LA GRAN CONSULTA POR COLOMBIA;2
BRICEÑO;PALOMA SUSANA VALENCIA LASERNA;LA GRAN CONSULTA POR COLOMBIA;351
BRICEÑO;ROY LEONARDO BARRERAS MONTEALEGRE;FRENTE POR LA VIDA;3
BRICEÑO;VICTORIA EUGENIA DAVILA HOYOS;LA GRAN CONSULTA POR COLOMBIA;10
BRICEÑO;VOTOS NO MARCADOS CONSULTA;CANDIDATOS TOTALES;45
BRICEÑO;VOTOS NULOS CONSULTA;CANDIDATOS TOTALES;20
BUENAVISTA;ANIBAL GAVIRIA CORREA;LA GRAN CONSULTA POR COLOMBIA;2
BUENAVISTA;CLAUDIA NAYIBE LOPEZ HERNANDEZ;CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN;52
BUENAVISTA;DANIEL QUINTERO CALLE;FRENTE POR LA VIDA;9
BUENAVISTA;DAVID ANDRES LUNA SANCHEZ;LA GRAN CONSULTA POR COLOMBIA;3
BUENAVISTA;EDISON LUCIO TORRES MORENO;FRENTE POR LA VIDA;4
BUENAVISTA;ENRIQUE PEÑALOSA LONDOÑO;LA GRAN CONSULTA POR COLOMBIA;8
BUENAVISTA;HECTOR ELIAS PINEDA SALAZAR;FRENTE POR LA VIDA;1
