MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
CHIQUINQUIRA;JOSE RICARDO SALINAS TORRES;PARTIDO CONSERVADOR COLOMBIANO;3527
CHIQUINQUIRA;LUIS GIOVANNY SALINAS ROZO;PARTIDO ALIANZA VERDE;1240
CHIQUINQUIRA;MAURICIO ALBERTO LANDAZABAL SUAZA;"PARTIDO DE REIVINDICACION ETNICA ""PRE""";13
CHIQUINQUIRA;SANDRA IMELDA SANCHEZ PEÑA;PARTIDO COLOMBIA RENACIENTE;44
CHIQUINQUIRA;WILMAR ANCISAR TRIANA GONZALEZ;SI ES POSIBLE;11749
CHIQUIZA;CARLOS EDUARDO BORRAS BUITRAGO;LO HAREMOS MEJOR;1583
CHIQUIZA;ELKIN YAMID SUAREZ PACHECO;PARTIDO ALIANZA VERDE;1990
CHIQUIZA;IVAN RENE SUAREZ RIVERA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;292
CHISCAS;CAMILO ANDRES CAICEDO SILVA;PARA SERVIRLE SUMERCE;1129
CHISCAS;GERSON AYMER RUIZ CARREÑO;PARTIDO CENTRO DEMOCRATICO;407
CHISCAS;REINALDO ESTEBAN NUÑEZ;UNIDOS CONSTRUIMOS FUTURO;602
CHITA;JOSE MIGUEL VELANDIA ALARCON;PARTIDO CAMBIO RADICAL;2252
CHITA;VLADIMIR RISCANEVO POBLADOR;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U;1824
CHITARAQUE;CESAR CAMILO ULLOA MOSQUERA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;84
CHITARAQUE;FABIAN ARMANDO SILVA SANCHEZ;CON EL ALMA POR CHITARAQUE;2573
CHITARAQUE;LUIS FRANCISCO DAZA TELLEZ;UNIDOS SEGUIMOS AVANZANDO POR CHITARAQUE;1069
CHITARAQUE;MABEL ALVAREZ HERNANDEZ;PARTIDO CONSERVADOR  - ASI;395
CHIVATA;JOSE JOAQUIN CRUZ GAMBASICA;PARTIDO CONSERVADOR COLOMBIANO  - CAMBIO RADICAL - CENTRO DEMOCRATICO;643
CHIVATA;MILTON DARIO BERNAL BAUTISTA;CULTIVEMOS CHIVATA - MAIS;206
CHIVATA;RAFAEL ANTONIO FONSECA CELY;PARTIDO SOCIAL UNIDAD NACIONAL - PARTIDO ALIANZA  SOCIAL INDEPENDIENTE - ASI;742
CHIVATA;YESID ALEXANDER BERNAL HERNANDEZ;COALICION LABRANDO FUTURO;630
CHIVOR;ANA YOLANDA HERNANDEZ DAZA;PARTIDO ALIANZA VERDE;182
CHIVOR;DIANA MIRELLA MONTENEGRO DAZA;PARTIDO CAMBIO RADICAL;108
CHIVOR;DIDIER AURELIO MARTINEZ VARGAS;PARTIDO CENTRO DEMOCRATICO;580
CHIVOR;DIDIER MAURICIO BERNAL MONDRAGON;PARTIDO CONSERVADOR COLOMBIANO;23
CHIVOR;VIVIANA PAOLA MARTIN AREVALO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;372
CIENEGA;RAMIRO FONSECA CRUZ;PARTIDO CENTRO DEMOCRATICO;1557
CIENEGA;WILLIAM CAMILO BARRETO GONZALEZ;PARTIDO CONSERVADOR COLOMBIANO - PARTIDO DE LA U - CAMBIO RADICAL;1483
COMBITA;NELSON PEREZ SUAREZ;SOMOS MAS;4622
COMBITA;NELSON RAFAEL PARRA SANDOVAL;LA INCLUSION NUESTRO COMPROMISO;2295
COPER;AURORA DEL CARMEN NIETO MOLINA;COALICION ALCALDIA DE COPER;963
COPER;JOSE AMBROSIO RONCANCIO;PARTIDO CENTRO DEMOCRATICO;571
COPER;RICARDO VALBUENA MORENO;PARTIDO ALIANZA VERDE;789
CORRALES;PEDRO ANTONIO LOPEZ PRIETO;PARTIDO CONSERVADOR COLOMBIANO;1398
COVARACHIA;CARLOS FRANCISCO GUALDRON GUALDRON;PARTIDO CENTRO DEMOCRATICO;2
COVARACHIA;LUIS ALFONSO CAMACHO TELLEZ;PARTIDO ALIANZA VERDE;794
COVARACHIA;OMAR ALBEIRO AGUILAR ALBARRACIN;PARTIDO CAMBIO RADICAL;16
COVARACHIA;WILSON ISAY MORENO VEGA;PARTIDO CONSERVADOR COLOMBIANO;1451
CUBARA;AURA BENILDA TEGRIA CRISTANCHO;TODOS POR CUBARA;1169
CUBARA;GILDARDO MURCIA BUITRAGO;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;822
CUBARA;JESICA MARIBEL CONTRERAS BAUTISTA;PARTIDO CONSERVADOR COLOMBIANO;578
CUBARA;RAUL JIMENEZ MORENO;PARTIDO POLO DEMOCRATICO ALTERNATIVO;327
CUBARA;YEINER ARLEX SANTAMARIA MARTINEZ;PARTIDO CENTRO DEMOCRATICO;255
CUCAITA;ENID MARGARET OVALLE SALAZAR;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;386
CUCAITA;FABIAN ANTONIO CASTELLANOS NIÑO;UNIDOS POR EL MEDIO AMBIENTE Y EL DESARROLLO DEL CAMPO;576
CUCAITA;JOSE ANTONIO SIERRA ALVARADO;CUCAITA CON VISION OBRAS Y DESARROLLO;39
CUCAITA;JOSE MOISES CASTILLO DUARTE;PARTIDO CONSERVADOR COLOMBIANO;1004
CUCAITA;MARCOS DANIEL BORDA PARRA;COLOMBIA HUMANA - UNION PATRIOTICA;632
CUCAITA;NELSON ENRIQUE VARGAS GIL;PARTIDO LIBERAL COLOMBIANO;104
CUITIVA;DELCI DEL CARMEN URBANO;PARTIDO CENTRO DEMOCRATICO;216
CUITIVA;DIRIER FABIAN CHAPARRO SUAREZ;PARTIDO CAMBIO RADICAL;57
CUITIVA;JHON DARIO GUTIERREZ AMEZQUITA;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;114
CUITIVA;SEGUNDO ALDEMAR TOCA SUAREZ;ALIANZA PARA EL DESARROLLO;1014
DUITAMA;CONSTANZA ISABEL RAMIREZ ACEVEDO;PARTIDO CAMBIO RADICAL;21208
DUITAMA;EDGAR EYSENOBER BAEZ CONDE;PARTIDO CONSERVADOR COLOMBIANO;3768
DUITAMA;FERNANDO ALFONSO BAYONA RINCON;COLOMBIA HUMANA - UNION PATRIOTICA;1981
DUITAMA;GERMAN TIBERIO OJEDA PEDRAZA;SOMOS DUITAMA CIUDAD CREATIVA;10670
DUITAMA;HERNEL DAVID ORTEGA GOMEZ;PARTIDO LIBERAL COLOMBIANO;16024
DUITAMA;OSCAR FERNANDO SERRANO GONZALEZ;PARTIDO COLOMBIA JUSTA LIBRES;1496
DUITAMA;PEDRO PABLO SIAUCHO CRISTANCHO;"PARTIDO DE REIVINDICACION ETNICA ""PRE""";200
DUITAMA;ROBERTO MAYORGA MAYORGA;PARTIDO ADA;588
EL COCUY;ALEJANDRO MUÑOZ SANDOVAL;DESARROLLO SOSTENIBLE CON BIENESTAR PARA TODOS;854
EL COCUY;HENRY BUITRAGO CORREA;PARTIDO CONSERVADOR COLOMBIANO;564
EL COCUY;TOMAS RUIZ SILVA;PARTIDO CENTRO DEMOCRATICO;913
EL ESPINO;ARMANDO TARAZONA GALLO;EN EQUIPO POR EL ESPINO;718
EL ESPINO;EDBERTO JOSE JAIME COCUNUBO;PARTIDO CONSERVADOR COLOMBIANO;861
EL ESPINO;KAREN DAYANNY CARREÑO BUITRAGO;PARTIDO ALIANZA VERDE;107
EL ESPINO;SARAITH SANTISTEBAN CARRERO;MOVIMIENTO AUTORIDADES INDIGENAS DE COLOMBIA AICO;28
FIRAVITOBA;EMILIANO ALFONSO CHAPARRO FONSECA;FIRAVITOBA NOS UNE;1610
FIRAVITOBA;JHON EZEQUIEL HERNANDEZ PRECIADO;PARTIDO CAMBIO RADICAL;130
FIRAVITOBA;LUIS ALFONSO ROJAS LOPEZ;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;804
FIRAVITOBA;LUZ AMANDA RODRIGUEZ SALAMANCA;PARTIDO CENTRO DEMOCRATICO;1431
FLORESTA;JAIME ARTURO SAAVEDRA PEÑALOSA;PARTIDO CONSERVADOR COLOMBIANO - CAMBIO RADICAL;840
FLORESTA;JUAN CARLOS TORRES OLIVARES;PARTIDO DE UNIDAD NACIONAL - MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL - MAIS;6
FLORESTA;WILMAR JULIAN RINCON MARIÑO;PARTIDO ALIANZA VERDE;1578
GACHANTIVA;JAIME ARMANDO GOMEZ BUITRAGO;PARTIDO COLOMBIA RENACIENTE;143
GACHANTIVA;JEFERSSON VLADIMIR SOACHA SANABRIA;PARTIDO CENTRO DEMOCRATICO;346
GACHANTIVA;JOSE ALFREDO FORERO SUAREZ;PARTIDO CAMBIO RADICAL;530
GACHANTIVA;LUIS CARLOS GUERRERO;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;30
GACHANTIVA;PEDRO ALONSO AGUILLON PUENTES;PARTIDO CONSERVADOR COLOMBIANO;1001
GACHANTIVA;QUERUBIN RODRIGO PINILLA REYES;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;235
GAMEZA;JOSE ALIRIO OCHICA PEREZ;GENERACION DE OPORTUNIDADES;1521
GAMEZA;JOSE SAMUEL MEDINA ALFONSO;COMPROMISO SOCIAL PARA SEGUIR CRECIENDO;983
GAMEZA;OSCAR HERNANDO VEGA QUIROGA;PARTIDO CONSERVADOR COLOMBIANO;188
GAMEZA;RAFAEL ANTONIO NONTOA SOCHA;PARTIDO ALIANZA SOCIAL INDEPENDIENTE ASI;9
GAMEZA;ROBERTO AMARILLO SALAMANCA;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;436
GARAGOA;FABIO AUGUSTO AREVALO;GARAGOA SOMOS TODOS;3266
GARAGOA;HUGO JOSE MORENO ALFONSO;PARTIDO ALIANZA VERDE;1073
GARAGOA;MICHEL ANGEL SANCHEZ;PARTIDO CONSERVADOR COLOMBIANO;2296
GARAGOA;OSCAR LEONARDO ROJAS;PARTIDO SOCIAL DE UNIDAD NACIONAL  PARTIDO DE LA U;778
GUACAMAYAS;DARIO ALEXANDER ALBARRACIN VALDERRAMA;TODOS POR GUACAMAYAS;422
GUACAMAYAS;JUAN CARLOS BARON BARON;PARTIDO ALIANZA VERDE;29
GUACAMAYAS;WILSON FERNANDO BARON GOMEZ;PARTIDO CONSERVADOR COLOMBIANO;733
GUATEQUE;IVAN CAMILO CAMERO ALFONSO;GUATEQUE RAZONES PARA CONFIAR;3398
GUATEQUE;JOHN ALEJANDRO ROA GOMEZ;PACTO POR GUATEQUE;1050
