MUNICIPIO;PUESTO;LAT;LON
DUITAMA;SALON COMUNAL TOCOGUA;5.811454553117910;-73.0124949498305
DUITAMA;SAN ANTONIO NORTE;5.840827794281010;-73.0210941119323
CHIQUINQUIRÁ;SASA MOYAVITA;5.604816099999990;-73.7250781999998
DUITAMA;SIRATA;5.845966886030020;-73.0397555120424
DUITAMA;SURBA Y BONZA;5.826360441560300;-73.0778554898966
DUITAMA;U.P.T.C.;5.826839155936590;-73.0251817984709
CHIQUINQUIRÁ;U.PEDAG. Y TECNOLOGICA DE COL;5.611033700000000;-73.8154061000000
SOGAMOSO;UNIVERSIDAD DE BOYACA SEDE SOGAMOSO;5.727520507823290;-72.92102272374570
TUNJA;UNIVERSIDAD JUAN DE CASTELLANOS;5.524670000000000;-73.3654199999999
TUNJA;UNIVERSIDAD SANTO TOMAS;5.532799496165620;-73.36371003173800
CHIQUINQUIRÁ;UNIVERSIDAD SANTO TOMAS;5.618222613346400;-73.81753786557540
CHIQUINQUIRÁ;VARELA;5.683099699999990;-73.8747953999998
