MUNNOMBRE;CANNOMBRE;PARNOMBRE;VOTOS
CHIQUINQUIRA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;8382
CHIQUINQUIRA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;808
CHIQUINQUIRA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;282
CHIQUINQUIRA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;14520
CHIQUIZA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;137
CHIQUIZA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;189
CHIQUIZA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;45
CHIQUIZA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;3059
CHISCAS;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;711
CHISCAS;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;10
CHISCAS;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;175
CHISCAS;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1175
CHITA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;1138
CHITA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;175
CHITA;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;23
CHITA;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;2363
CHITARAQUE;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;2119
CHITARAQUE;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;98
CHITARAQUE;OLMEDO VARGAS HERNANDEZ;PARTIDO COLOMBIA RENACIENTE;10
CHITARAQUE;RAMIRO BARRAGAN ADAME;GRAN ALIANZA POR BOYACA;1283
CHIVATA;JONATAN SANCHEZ GARAVITO;JUNTOS #ESMOMENTO;566
CHIVATA;JOSE GIOVANY PINZON BAEZ;MOVIMIENTO ALTERNATIVO INDIGENA Y SOCIAL MAIS;215
